"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria",907,288,290,290,247,151,170,230,146
"Archaea","Euryarchaeota","p_Euryarchaeota","p_Euryarchaeota","p_Euryarchaeota","p_Euryarchaeota","p_Euryarchaeota","p_Euryarchaeota",2437,0,1,0,0,0,0,0,1
"Bacteria","Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria",2433,3,1,4,1,3,1,2,3
"Bacteria","Bacteroidetes","p_Bacteroidetes","p_Bacteroidetes","p_Bacteroidetes","p_Bacteroidetes","p_Bacteroidetes","p_Bacteroidetes",2434,101,79,182,95,58,109,153,92
"Bacteria","Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria",2435,1,1,0,0,0,0,0,0
"Bacteria","Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria",2436,1,2,2,0,0,0,0,0
"Bacteria","Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes",2438,137,154,61,153,55,50,39,44
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes",2439,2,2,1,3,1,1,1,0
"Bacteria","Proteobacteria","p_Proteobacteria","p_Proteobacteria","p_Proteobacteria","p_Proteobacteria","p_Proteobacteria","p_Proteobacteria",2440,47,44,33,23,22,21,25,17
"Bacteria","Tenericutes","p_Tenericutes","p_Tenericutes","p_Tenericutes","p_Tenericutes","p_Tenericutes","p_Tenericutes",2441,1,0,0,0,0,0,0,0
"Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","bacterium BFN5","bacterium BFN5",361,3,0,1,0,0,0,0,0
"Archaea","Euryarchaeota","Halobacteria","c_Halobacteria","c_Halobacteria","c_Halobacteria","c_Halobacteria","c_Halobacteria",531,0,0,2,0,1,1,2,3
"Archaea","Euryarchaeota","Methanomicrobia","c_Methanomicrobia","c_Methanomicrobia","c_Methanomicrobia","c_Methanomicrobia","c_Methanomicrobia",532,1,0,0,0,0,0,0,0
"Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","d_Bacteria","Vampirococcus","Vampirococcus sp. LiM","Vampirococcus sp. LiM",3496,0,1,0,0,0,0,0,0
"Bacteria","Actinobacteria","Actinobacteria","c_Actinobacteria","c_Actinobacteria","c_Actinobacteria","c_Actinobacteria","c_Actinobacteria",522,6,5,5,14,4,2,5,3
"Bacteria","Actinobacteria","Coriobacteriia","c_Coriobacteriia","c_Coriobacteriia","c_Coriobacteriia","c_Coriobacteriia","c_Coriobacteriia",528,7,10,3,5,18,11,8,3
"Bacteria","Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","Actinobacteria bacterium IMCC19121","Actinobacteria bacterium IMCC19121",76,1,0,0,0,0,0,0,0
"Bacteria","Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","Actinobacteria bacterium IMCC25003","Actinobacteria bacterium IMCC25003",77,0,0,0,1,0,0,0,0
"Bacteria","Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","p_Actinobacteria","Actinobacteria bacterium IMCC26077","Actinobacteria bacterium IMCC26077",78,1,0,1,0,1,0,1,0
"Bacteria","Bacteroidetes","Bacteroidia","c_Bacteroidia","c_Bacteroidia","c_Bacteroidia","c_Bacteroidia","c_Bacteroidia",525,0,1,0,2,0,2,2,3
"Bacteria","candidate division Zixibacteria","p_candidate division Zixibacteria","p_candidate division Zixibacteria","p_candidate division Zixibacteria","p_candidate division Zixibacteria","candidate division Zixibacteria bacterium","candidate division Zixibacteria bacterium",572,0,0,0,0,1,0,0,0
"Bacteria","Candidatus Gracilibacteria","p_Candidatus Gracilibacteria","p_Candidatus Gracilibacteria","p_Candidatus Gracilibacteria","p_Candidatus Gracilibacteria","Candidatus Gracilibacteria bacterium HOT-871","Candidatus Gracilibacteria bacterium HOT-871",592,1,0,0,0,0,0,1,0
"Bacteria","Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","p_Candidatus Saccharibacteria","Candidatus Saccharibacteria bacterium oral taxon 488","Candidatus Saccharibacteria bacterium oral taxon 488",625,0,0,3,0,0,1,2,0
"Bacteria","Cyanobacteria","p_Cyanobacteria","Nostocales","o_Nostocales","o_Nostocales","o_Nostocales","o_Nostocales",2382,0,1,5,0,0,0,2,1
"Bacteria","Cyanobacteria","p_Cyanobacteria","Synechococcales","o_Synechococcales","o_Synechococcales","o_Synechococcales","o_Synechococcales",2389,0,0,0,1,0,0,0,0
"Bacteria","Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","p_Cyanobacteria","cyanobacterium endosymbiont of Rhopalodia gibberula","cyanobacterium endosymbiont of Rhopalodia gibberula",898,0,0,0,1,0,0,0,0
"Bacteria","Firmicutes","Bacilli","c_Bacilli","c_Bacilli","c_Bacilli","c_Bacilli","c_Bacilli",524,19,10,12,11,1,3,5,7
"Bacteria","Firmicutes","Clostridia","c_Clostridia","c_Clostridia","c_Clostridia","c_Clostridia","c_Clostridia",527,1,4,2,2,0,2,0,0
"Bacteria","Firmicutes","Negativicutes","c_Negativicutes","c_Negativicutes","c_Negativicutes","c_Negativicutes","c_Negativicutes",533,1,1,1,2,0,0,0,0
"Bacteria","Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes","p_Firmicutes","endosymbiont TC1 of Trimyema compressum","endosymbiont TC1 of Trimyema compressum",1042,0,0,2,0,1,0,3,0
"Bacteria","Kiritimatiellaeota","p_Kiritimatiellaeota","p_Kiritimatiellaeota","p_Kiritimatiellaeota","p_Kiritimatiellaeota","Kiritimatiellaeota bacterium S-5007","Kiritimatiellaeota bacterium S-5007",1761,1,0,1,1,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium","Planctomycetes bacterium",2646,1,0,0,0,1,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium CA51","Planctomycetes bacterium CA51",2647,0,0,0,0,0,1,2,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Enr13","Planctomycetes bacterium Enr13",2648,0,0,0,0,0,1,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Enr17","Planctomycetes bacterium Enr17",2649,0,1,0,1,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium FF011L","Planctomycetes bacterium FF011L",2650,0,0,1,1,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium K22_7","Planctomycetes bacterium K22_7",2652,1,0,2,1,0,0,1,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium KS4","Planctomycetes bacterium KS4",2653,1,0,0,0,0,0,1,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium MalM25","Planctomycetes bacterium MalM25",2654,1,1,0,0,1,1,2,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan161","Planctomycetes bacterium Pan161",2655,0,0,0,2,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan181","Planctomycetes bacterium Pan181",2656,0,0,1,0,0,0,0,1
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan216","Planctomycetes bacterium Pan216",2657,0,0,1,0,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan241w","Planctomycetes bacterium Pan241w",2658,1,0,4,1,0,0,2,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan258","Planctomycetes bacterium Pan258",2659,0,0,0,1,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan265","Planctomycetes bacterium Pan265",2660,1,0,0,0,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pan44","Planctomycetes bacterium Pan44",2661,0,0,0,1,0,0,1,1
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pla110","Planctomycetes bacterium Pla110",2662,1,0,0,0,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pla163","Planctomycetes bacterium Pla163",2663,0,0,1,0,0,0,1,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pla175","Planctomycetes bacterium Pla175",2664,0,0,0,1,0,0,0,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium Pla85_3_4","Planctomycetes bacterium Pla85_3_4",2665,0,1,3,0,1,1,1,1
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium SRT547","Planctomycetes bacterium SRT547",2666,1,0,5,2,0,3,4,0
"Bacteria","Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","p_Planctomycetes","Planctomycetes bacterium SV_7m_r","Planctomycetes bacterium SV_7m_r",2667,1,0,0,0,0,0,0,0
