"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella intermedia","Prevotella intermedia",1006,3584,1235,4004,1762,777,1827,3746,1780
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica","Prevotella melaninogenica",1008,790,687,5003,1048,1043,2497,4980,2345
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni","Prevotella jejuni",1007,805,335,1452,485,264,735,1497,677
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella denticola","Prevotella denticola",1003,517,398,2530,611,512,1236,2458,1169
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis","Prevotella dentalis",1002,472,541,3427,734,754,1824,3464,1630
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella fusca","Prevotella fusca",1005,493,424,3081,660,604,1489,3140,1514
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella enoeca","Hoylesella enoeca",1004,464,290,1544,397,325,777,1477,711
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella scopos","Prevotella scopos",1011,438,275,1704,429,346,858,1654,809
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oris","Segatella oris",1009,363,476,4052,772,878,2017,3999,1856
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. oral taxon 299","Prevotella sp. oral taxon 299",1012,357,163,726,249,158,358,714,319
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella ruminicola","Xylanibacter ruminicola",1010,313,716,6154,1182,1274,3071,6344,2992
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella sp. E39","Alloprevotella sp. E39",69,83,83,294,84,64,151,275,108
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides distasonis",911,15343,24940,10346,15599,896,1063,955,1184
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp. CT06","Parabacteroides sp. CT06",912,725,1123,627,766,202,190,261,158
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","Tannerella forsythia","Tannerella forsythia",1252,132,116,150,86,37,66,165,74
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis",1253,67,72,123,73,68,73,115,65
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","Odoribacter splanchnicus",849,12884,8526,3374,5313,164,158,141,166
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas faecalis","Butyricimonas faecalis",216,318,317,830,326,435,497,785,414
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella viscericola","Barnesiella viscericola",171,626,795,675,558,311,304,389,243
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella dubosii","Duncaniella dubosii",430,90,92,207,84,56,84,180,78
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","f_Muribaculaceae","Muribaculaceae bacterium DSM 108610","Muribaculaceae bacterium DSM 108610",791,140,150,589,170,189,346,624,326
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum intestinale","Muribaculum intestinale",792,66,84,213,69,50,104,177,93
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum sp. TLL-A4","Muribaculum sp. TLL-A4",793,57,93,186,76,69,93,178,82
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis","Porphyromonas gingivalis",1000,151,107,136,104,49,71,112,61
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas asaccharolytica","Porphyromonas asaccharolytica",997,72,37,77,38,28,29,78,46
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas crevioricanis","Porphyromonas crevioricanis",999,46,34,79,34,21,39,72,38
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas cangingivalis","Porphyromonas cangingivalis",998,32,29,94,37,32,58,74,34
