species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Blautia hansenii,3.5,8.5,4.3,19.9,53.4,56.4375,75.1,111.1
Blautia hydrogenotrophica,2.9,0,0,6.1,5.8,9.3,1,0
Blautia obeum,20.3,0,0,0,797.237628384687,2327.05065359477,2168.67487922705,1490.60909090909
Blautia producta,0,0,0,0,1.5,4.5,5,3
Brussowvirus bvO1205,0,0,0,0,0,0,0,1
Butyricicoccus pullicaecorum,0,0,0,0,10.1,12.1,1.1,3.2
Butyricimonas synergistica,3,2,3,0,1.1,0,1,2.8
Capnocytophaga granulosa,0,0,0,0,0,0,0,1.1
Carnobacterium maltaromaticum,0,0,0,0,0,0,3.5,0
Cellulomonas carbonis,0,0,1,0,1,0,1,0
Cellulosilyticum ruminicola,0,0,0,0,0,0,0,0.8
Christensenella minuta,0,0,0,0,0,3,12.8,3.6
Christensenella timonensis,0,0,0,0,0,0,3.4,0
Clostridioides difficile,0,0,0,0,8.9,12.7,3,3.8
[Clostridium] aminophilum,0,2,1.3,0,0,0,0,1
[Clostridium] hylemonae,0,0,0,0,0,0,0,0.6
Clostridium kluyveri,0.5,0.3,0,0,0,0,0,0
Clostridium lundense,0,0,1,0,0,0,0,0
Clostridium phoceensis,8.4,7.4,6.8,6.1,2,1.3,5.5,0
[Clostridium] scindens,0,0,3.6,0,0,0,0,0
[Clostridium] symbiosum,0,0,0,0,0,0,37.3,0
Collinsella aerofaciens,2987.6,4541.2,7049.6,2700.6,1291.3,1185.68846153846,710.175,2097.8
Collinsella bouchesdurhonensis,0,0,0,0,0,0,11.6,2.1
Collinsella ihumii,0,0,0,0,0,2.3,0,0
Collinsella stercoris,12.2,0,36.7,0,0,0,0,0
Comamonas kerstersii,0,0,0,0,1,0.5,1,0
Comamonas testosteroni,0,0,0,0,1,0,0,0
Coprobacter fastidiosus,1,0,1,0,0,0,2.2,1
Coprococcus eutactus,7,9,16.4,6,496.8,1326.13076923077,868.202173913043,855.985915492958
Corynebacterium aurimucosum,0,0,0,0,0,0,0.2,0
Cronobacter sakazakii,0,0,0,0,0,1.6,1,3.3
Cuauhtlivirus mEpX1,0,0,0,0,0.9,1.2,0,0
Culturomica massiliensis,0,0,0,0,4,4.6,28,0
Cupriavidus basilensis,0,0,0,0,3.6,1,31.3,8
Cupriavidus metallidurans,0,0,0,0,108.5,329,1513.6,452.6
Desnuesiella massiliensis,0,0,0,0,0,0,0,1
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,9.3,0.6
Desulfovibrio piger,0,0,0,0,32,79,349.8,105.7
Dialister invisus,0,0,0,0,46,119,536,172
Dialister succinatiphilus,0,0,0,0,3.5,6,6,2
Dickeya parazeae,0,0,0,0,0,0,0,1.2
Diegovirus dv7502Stx,0,0,0,0,1.7,2.1,0,0
Donghicola eburneus,0,0,0,0,0,0.2,0,0
Dorea formicigenerans,24.7,0,0,0,231.105882352941,648.708653846154,1260.41111111111,440.212676056338
Dorea longicatena,0,0,0,0,920.031862745098,2060.80833333333,1543.34444444444,1370.6
Edwardsiella anguillarum,0,0,0,0,0,2,2.7,1.1
Eggerthella lenta,0,0,0,0,51.1,133.6,953.126086956522,168
Eisenbergiella tayi,0,0,0,0,0,0,2,0
Emergencia timonensis,0,0,0,0,2.1,28.4,0,21.3
Enorma massiliensis,0,0,0,0,1.3,0,0,0
Enterobacter hormaechei,0,0,0,0,0.6,0,28.7,6.8
Enterobacter kobei,0,0,0,0,0,0.8,1.7,8.7
[Enterobacter] lignolyticus,0,0,0,0,1,4.2,6.3,5
Enterobacteria phage cdtI,0,0,0,0,6.4,6.8,3.3,1.4
Enterobacteria phage mEp460,0,0,0,0,0,1.5,0,0
Enterocloster asparagiformis,0,0,0,0,4.7,5.2,1,0
Enterocloster bolteae,0,0,0,0,4.9,5.8,16.6,23.4
Enterocloster citroniae,0,0,0,1.1,2.1,0.9,0,0
Enterococcus asini,0,0,0,0,0,0,1,0
Enterococcus casseliflavus,0,0,0,0,0,0,3.5,1
Enterococcus cecorum,0,0,0,0,0,0,1.7,0.9
Enterococcus faecalis,0,0,0,0,0,0,7.8,0
Enterococcus faecium,0,0,0,0,39.8,107.7,683.8,158.133333333333
Enterococcus gilvus,0,0,0,0,2,2,3,5.4
Enterococcus hirae,0,0,0,0,0,0,3.5,0
Enterococcus italicus,0,0,0,0,0,0,1.9,0
Enterococcus malodoratus,0,0,0,0,1,0,2,0
Enterococcus mundtii,0,0,0,0,0,0,0,1
Entomohabitans teleogrylli,0,0,0,0,0,0,1,0
Erwinia oleae,0,0,0,0,0,0,0,1
Erwinia tracheiphila,0,0,0,0,0,0,3.3,3
Escherichia Stx1 converting phage,0,0,0,0,0,45.5,9.4,7.7
Escherichia virus DE3,0,0,0,0,0,2.4,0,0
Eshraghiella crossota,3.7,52.9,1.2,76.525,631.507936507937,1052.4,715.026086956522,668.5
Eubacterium coprostanoligenes,4,0,2,2,3.4,1,0,0
Eubacterium oxidoreducens,0,0,0,0,0,1,0,0
Eubacterium pyruvativorans,0,1,0,2.2,0,0,0,0
Eubacterium ramulus,0,1,0,0,0,0,0,0
Eubacterium ventriosum,4.9,0,0,12.8,67.1,186.923529411765,646.452173913044,266.6
Ezakiella massiliensis,0,0,0,0,0,0,5.3,0
Faecalibacterium duncaniae,987.333333333333,1563.96666666667,1112.71666666667,1993.88333333333,549.555555555556,770.485294117647,201.326086956522,1551.6
Faecalicatena contorta,12.4,5.5,9.9,9.7,0,3,1,6
Faecalicoccus pleomorphus,15.8,13.6,8.7,20.1,4,10.2,1.9,6.3
Falseniella ignava,0,0,0,0,0,1.4,2.3,0
Felsduovirus RE2010,0,0,0,0,0,0,0,2
Finegoldia magna,0,0,0,0,12.2,29.9,101.8,38.1
Flavonifractor plautii,40.6666666666667,32.9,39.5833333333333,114.373571428571,106.971428571429,274.175,831.825,376.471724285105
Fusarium proliferatum,0,0,0,0,0,0,0.4,0
Fusicatenibacter saccharivorans,4,0,6.1,0,0,2926.8,0,0
Gordonibacter pamelaeae,42.2,0,0,31.7,52.3,114.7,875.6,166.9
Haemophilus sputorum,0,0,0,0,0.9,7,24.3,0
Hallella bergensis,0,0,0,0,3.3,2.6,11.2,0
Helcococcus kunzii,0,0,0,0,0,0,3.6,0
Helcococcus sueciensis,0,0,0,0,0,0.9,0,0
Hespellia stercorisuis,0,0,0,0,2.4,8.3,2,1.7
Heyndrickxia acidiproducens,0,2,0,0,0,0,0.3,0
Holdemanella biformis,0,0,0,0,98.9,0,583.4,0
Holdemania massiliensis,2.3,11.9,4.3,7.2,3,7.3,0,8.4
Hoylesella buccalis,0,0,0,0,38,208.5,450.6,457.193277310924
Hoylesella enoeca,0,0,0,0,0,1.9,0,2.4
Hoylesella marshii,0,0,0,0,0,2,0,3.8
Hoylesella nanceiensis,0,0,0,0,2,5.1,2.5,2.4
Hoylesella oralis,0,0,0,0,0,0,1,0
Hoylesella shahii,0,0,0,0,2.1,3.6,0,0
Hungatella hathewayi,4.5,1,2.2,0,0,25.5,9,15.1
Intestinibacter bartlettii,0,0,0,0,67.5,171,844,247.3
Intestinimonas butyriciproducens,0,1.1,0,0,1,0,0,0
Johnsonella ignava,0,5.2,9.2,0,0,1,1.7,0
Kaistia adipata,0,0,0,0,0,0.2,0,3.2
Kandleria vitulina,0,0,0,0,1,0,9,3
Kluyvera ascorbata,0,0,0,0,1,2.7,4,5.4
Kluyvera cryocrescens,0,0,0,0,0,0,5,2.5
Kosakonia cowanii,0,0,0,0,0,0,4.7,16.1
Kosakonia sacchari,0,0,0,0,0,0,3.2,0
