species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Acetitomaculum ruminis,0,0,0,0,18.4,14,15.5,7
Acetivibrio cellulolyticus,0,0,0,0,0,0,3.8,0
Acetivibrio clariflavus,0,0,0,0,0,0,7.2,0
Acetivibrio ethanolgignens,2.1,14.3,3,10.1,70.4,112.9,75.8,71.4
Acetoanaerobium sticklandii,0,0,0,0,0,0,0,2.3
Achromobacter xylosoxidans,0,0,0,0,4.6,0,6.5,0
Acidaminococcus fermentans,0,0,0,0,50.2,126.1,93.6,32.5
Acidaminococcus intestini,0,0,0,0,4774.9,12474.4,63395.5,18132.9789473684
Acidaminococcus timonensis,0,0,0,0,2,0,33,46
Acidovorax soli,0,0,0,0,0,5,27.8,8.9
Acinetobacter johnsonii,0,0,0,0,25,76.9,189.6,114.9
Actinomadura mexicana,0,0,0,0,0,0,0,0.7
Actinomyces graevenitzii,0,0,0,0,0,0,1.7,0
Actinophytocola xinjiangensis,0,0,0,0,0,4.3,0,0
Actinotignum schaalii,0,0,0,0,0,0,1,0
Acutalibacter muris,21.5,31.8,62.4,34.4,12,19.2,4,22.2
Adlercreutzia caecimuris,0,0,0,0,0,0,300.8,1
Adlercreutzia equolifaciens,0,0,0,0,9289.3,24140.1,80624.4,35057.1
Adlercreutzia mucosicola,0,0,0,0,1,199.5,1,13.9
Aedoeadaptatus coxii,0,0,0,0,0,3.5,116.5,13.5
Aedoeadaptatus urinae,0,0,0,0,0,0,0,5.2
Aerococcus christensenii,0,0,0,0,8.1,0,6.5,0
Aerococcus suis,0,0,0,0,0,0,25.2,0
Aerococcus viridans,0,0,0,0,0,0,2.3,0
Aeromonas salmonicida,0,0,0,0,0,0,1,2
Aeromonas schubertii,0,0,0,0,0,1.1,0,1.2
Agathobacter rectalis,506887.573583663,748973.860683761,1007573.9043318,463645.695879121,351379.882085106,220146.3,172635.018181818,527051.911363636
Agathobaculum desmolans,0,0,0,0,149.8,416.3,456.2,299
Aguilavirus mEp043,0,0,0,0,0,0,13.2,0
Aguilavirus mEp213,0,0,0,0,41.8,61,0,11.6
Akkermansia muciniphila,0,0,0,0,69989,182977.7,70178,112271
Algoriphagus faecimaris,0,0,0,0,2.1,0,0,0
Alicycliphilus denitrificans,0,0,0,0,2,9,51.7,20.3
Alistipes communis,0,0,0,0,62.9,131.7,118.8,135.3
Alistipes finegoldii,12,10,31,6,32230.47,89108.0715686275,92823.44,56089.5714285714
Alistipes ihumii,0,0,0,0,4,60,64,33.1
Alistipes indistinctus,0,0,0,0,0,0,2,1
Alistipes inops,0,0,0,0,0,0,64989.4,42857.5
Alistipes putredinis,0,438428.3,0,268018,124860.2,0,0,0
Alistipes senegalensis,11.7,3.3,13.9,7.4,2233.5,613.8,690.6,491.3
Alistipes shahii,0,8814.4,0,0,24611.6,48611.8284313726,107253.92,45604.4
Alistipes timonensis,0,0,0,0,10,0,24.1,1173.4
Alkaliflexus imshenetskii,0,0,1,0,0,0,0,0
Allobaculum stercoricanis,17.9,46.7,40.2,51.9,0,0,1,0
Allochromatium vinosum,0,0,0,0,0,0,0,1.2
Allofournierella massiliensis,0,0,0,0,160.2,228.3,0,188.8
Allofustis seminis,0,0,0,0,0,0,4,1
Alloiococcus otitis,0,0,0,0,1.1,0,0,0
Alloprevotella rava,0,0,0,0,11.2,21,78.6,22.3
Alloprevotella tannerae,0,0,0,0,31.3,20.7,415.3,30.4
Alloscardovia criceti,0,0,0,0,16.1,44,9,36
Alloscardovia macacae,0,0,0,0,0,0,0,1.5
Alloscardovia omnicolens,0,0,0,0,34,96,30.2,54
Alterileibacterium massiliense,0,0,0,0,20.9,128.5,29.1,27.9
Amedibacillus dolichus,44.8,85.7,0,0,735.5,492.7,360.8,238.9
Amphibacillus jilinensis,0,0,0,0,0,0,2,0
Amphibacillus xylanus,0,0,0,0,0,6.3,0,27.5
Amylolactobacillus amylophilus,0,0,0,0,10.3,4,22.7,2.1
Anaerobium acetethylicum,0,0,0,0,2.4,4,2.1,4.6
Anaerobutyricum hallii,32,0,0,24.8,62668.2863895254,161629.9,120641.825,203058.8
Anaerococcus lactolyticus,0,0,0,0,10.5,24.5,30.3,58.8
Anaerococcus mediterraneensis,0,0,0,0,2.6,26.2,55.5,15.3
Anaerococcus obesiensis,0,0,0,0,46,3.1,21.4,94
Anaerococcus prevotii,0,0,0,0,20.4,26.4,93.4,48
Anaerococcus provencensis,0,0,0,0,2,70.5,437.3,141.3
Anaerococcus tetradius,0,0,0,0,13,10,43.9,38.2
Anaerosphaera aminiphila,0,0,0,0,2.6,2,4.2,1.2
Anaerostipes caccae,0,0,0,0,68.9,168,114,95.1
Anaerostipes hadrus,205.521449275362,521.561111111111,274.990756302521,118.7,62695.2474631751,148080.783333333,63748.7,100530.334090909
Anaerotignum lactatifermentans,0,0,0,0,241.7,757.3,976.2,0
Anaerotignum neopropionicum,691.7,0,892.2,0,133.7,91,47.9,175.5
Anaerotruncus colihominis,0,0,0,0,321.1,634.1,2142.7,882.4
Anaerotruncus rubiinfantis,0,0,0,0,0,21.4,13.9,9.8
Andreesenia angusta,0,0,0,0,667.9,25.4,916.1,45.5
