species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Bilophila wadsworthia,0,0,0,0,0,0,2,1
Bittarella massiliensis (ex Durand et al. 2017),0,2,0,0,1.1,0,0,0
Blautia hansenii,0,3.8,2.8,4.8,27.5,64,61.3,87.1277777777778
Blautia hydrogenotrophica,3,0,0,4.7,4,5.5,1,4.3
Blautia obeum,0,35.4,21,0,1024.64005813954,2232.15777777778,2284.35714285714,1366.24259259259
Blautia producta,0,0,0,0,2.5,5,7,3
Brachyspira pilosicoli,0,0,0,0,0,1,0,0
Brussowvirus bvO1205,0,0,0,0,0,0,0,1
Butyricicoccus pullicaecorum,0,1,0,0,2,3.5,1.3,0
Butyricimonas synergistica,0,1,1,0,1,0,1,1
Caballeronia glathei,0,0,0,0,0,0,1,0
Capnocytophaga gingivalis,0,0,0,0,0,0,0,1.1
Capnocytophaga granulosa,0,0,0,0,0,0,0,1.1
Carnobacterium maltaromaticum,0,0,0,0,0,0,2.9,0
Cedecea neteri,0,0,0,0,0,1.7,0,0
Cellulomonas carbonis,0,0,1,0,2,0,1,0
Centipeda periodontii,0,0,0,0,0.9,0,0,0
Chitinilyticum aquatile,0,0,0,0,0,0,0.9,1.1
Christensenella minuta,0,0,0,0,1.8,3.9,12,3
Christensenella timonensis,0,0,0,0,1.5,0,3.3,0
Clostridioides difficile,0,0,0,0,4.9,5,4,6.8
[Clostridium] aminophilum,0,2.4,0,0,1.6,0,0,1.5
Clostridium kluyveri,0.5,0,0,0.6,0,0,0,0
Clostridium lundense,0,0,0,0,0,0.5,0,0
Clostridium paraputrificum,0,0,0,0,0,1,0,0
Clostridium phoceensis,9.3,4.4,5.3,3.6,3,5,3,8
[Clostridium] scindens,0,0,0,1.2,0,0.8,0,2.7
[Clostridium] symbiosum,0,5.6,0,0,0,10.5,3.5,0
Collinsella aerofaciens,2987.7,4509.2,7062.2,2714.6,1307.8,1186.24146341463,691.7,2061.31075268817
Collinsella bouchesdurhonensis,0,0,0,0,0,1.9,12,2
Collinsella ihumii,0,0,0,0,0,1,0,0
Collinsella stercoris,0,0,0,0,0,0,3.7,0
Comamonas kerstersii,0,0,0,0,0,0,0,0.6
Coprobacter fastidiosus,0,0,1,0,0,2,3,1
Coprococcus eutactus,23.8,6,26.5,4.5,556.5,1350.29268292683,853.2,994.35
Corynebacterium lipophiloflavum,0,0,0,0,0,0,0,1
Corynebacterium singulare,0,0,0,0,0,0,0.8,0
Cronobacter sakazakii,0,0,0,0,0,0,0,6.4
Cuauhtlivirus mEpX1,0,0,0,0,1,2,0,0
Culturomica massiliensis,0,0,0,0,3.9,2.5,0,30.7
Cupriavidus basilensis,0,0,0,0,2,7,40,12
Cupriavidus metallidurans,0,0,0,0,87.2,274,1250.9,375.8
Cupriavidus pauculus,0,0,0,0,0.3,0,1,0.6
Dechloromonas agitata,0,0,0,0,0,0,1,0
Denitrobacterium detoxificans,0,0,0,0,0,0,0,1
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,3.5,1.5
Desulfovibrio piger,0,0,0,0,23,60,259,80
Dialister invisus,0,0,0,0,46,119,0,172
Dialister pneumosintes,0,0,0,0,0,0,0.3,0
Dialister succinatiphilus,0,0,0,0,3,5.5,5,2
Diegovirus dv7502Stx,0,0,0,0,0,2.5,0,0
Donghicola eburneus,0,0,0,0,0,0.6,0,0
Dorea formicigenerans,0,0,0,0,234.8,641.087804878049,1577.55,431.156989247312
Dorea longicatena,0,0,0,0,891.528333333333,2340.96166666667,841.7,1210.32150537634
Edwardsiella anguillarum,0,0,0,0,1.3,1,0,1.7
Eggerthella lenta,0,0,0,0,49.9,125.5,1060.45,164
Eisenbergiella tayi,0,0,0,0,0,0,2,0
Emergencia timonensis,0,0,0,0,0,0,6,14
Enterobacter hormaechei,0,0,0,0,0,3.3,16.4,3.6
Enterobacter kobei,0,0,0,0,0,2.3,1.8,1.7
[Enterobacter] lignolyticus,0,0,0,0,1,4,3.9,1
Enterobacteria phage cdtI,0,0,0,0,5.1,4.2,0,3.6
Enterobacteria phage mEp460,0,0,0,0,0,3,4,0
Enterobacteria phage SfV,0,0,0,0,0,1.1,0,0
Enterocloster asparagiformis,0,0,0,0,2.5,2.5,2,1.1
Enterocloster bolteae,0,0,0,0,1,9.2,5.4,3.9
Enterocloster citroniae,0,0.5,0,0,0,1.2,0,9
Enterococcus casseliflavus,0,0,0,0,0,0,3,1.1
Enterococcus cecorum,0,0,0,0,0,0,1.2,0
Enterococcus faecalis,0,0,0,0,0,0,8.2,0
Enterococcus faecium,0,0,0,0,39.5,101.7,676.7,147.851851851852
Enterococcus gilvus,0,0,0,0,2,4,4,5
Enterococcus hirae,0,0,0,0,0,0,3.8,0
Enterococcus italicus,0,0,0,0,0,0,0.9,0
Enterococcus malodoratus,0,0,0,0,1,0,2,0
Enterococcus massiliensis,0,0,0,0,0,0,1.5,0
Enterococcus mundtii,0,0,0,0,0,0,0,1
Enterococcus saccharolyticus,0,0,0,0,0,0,1.2,0
Entomohabitans teleogrylli,0,0,0,0,0,0,3.1,0
Erwinia oleae,0,0,0,0,0,0,1,1
Erwinia tracheiphila,0,0,0,0,0,1.1,3,4
Escherichia Stx1 converting phage,0,0,0,0,0,0,0,10.8
Escherichia virus DE3,0,0,0,0,0,7.9,0,0
Eshraghiella crossota,27.75,36.8,40.6,38.1333333333333,335.2875,886.6,736.5,726.525
Eubacterium coprostanoligenes,2,0,1,1,0,1.1,0,0
Eubacterium pyruvativorans,0,0,0.7,0,0,0,0,0
Eubacterium ventriosum,8.4,0,2.4,5.6,60.675,131.933333333333,596,201.475925925926
Faecalibacterium duncaniae,675.440248538012,1007.1,801.878571428571,1422.83333333333,368.23023255814,268.2,98.5,414.375925925926
Faecalicatena contorta,7.2,2.1,3.1,1.3,9.4,1,3.1,0
Faecalicoccus pleomorphus,8.7,5.9,7.5,13.3,2.7,4.3,0,5.3
Falseniella ignava,0,0,0,0,0,1.1,0,0
Felsduovirus RE2010,0,0,0,0,0,0,0,1
Finegoldia magna,0,0,0,0,8.4,20,79.9,32.9
Flavonifractor plautii,29.2033333333333,18.22,22.05,60.8904761904762,102.06511627907,249.741463414634,827.5,360.742592592593
Fusarium proliferatum,0,0,0,0,0,1.7,0,2.1
Fusicatenibacter saccharivorans,3,0,5,4,0,2631.2,0,0
Gemmiger formicilis,0,0,0,0,0,354.5,896.5,516.9
Globicatella sulfidifaciens,0,0,0,0,0,0,0.5,0
Gordonibacter pamelaeae,42.3,43.9,0,22,58.7,106.6,793.6,191.3
Haemophilus sputorum,0,0,0,0,1,5,8.8,0
Hallella bergensis,0,0,0,0,0,7.8,15.4,0
Helcococcus kunzii,0,0,0,0,0,0,2.2,0
Hespellia stercorisuis,0,0,0,0,0,1,2.6,1.7
Heyndrickxia acidiproducens,0,0,0,0,0,0,0.8,0
Holdemanella biformis,0,0,0,0,0,0,475.5,308.9
Holdemania massiliensis,4.6,7.3,8.4,8.8,3.8,5,0,7.9
Hoylesella buccalis,0,0,0,0,28,117.660683760684,431.14375,287.207692307692
Hoylesella enoeca,0,0,0,0,0,0,1.1,0
Hoylesella marshii,0,0,0,0,0,1.9,1,2.3
Hoylesella nanceiensis,0,0,0,0,5,7,3,3
Hoylesella oralis,0,0,0,0,0,0,1.1,0.3
Hoylesella saccharolytica,0,0,0,0,0.9,0,0,0
Hoylesella shahii,0,0,0,0,0,0,0,2.6
Hoylesella timonensis,0,0,0,0,0,0,0,185.9
Hungatella hathewayi,0,1,0,0,2.9,11.3,23.3,15.4
Intestinibacter bartlettii,0,0,0,0,65.6,174.4,841.7,247.1
Intestinimonas butyriciproducens,0,0,0,0,0,1,0,0
Johnsonella ignava,3,8.1,4.8,7,1.1,0.8,0,0
Kaistia adipata,0,0,0,0,0,0,2,1.3
Kandleria vitulina,0,0,0,0,1,0,9,3
Kluyvera ascorbata,0,0,0,0,1,2.3,2.9,4.7
Kluyvera cryocrescens,0,0,0,0,0,0,4.2,4.9
Kosakonia cowanii,0,0,0,0,0,2.1,2.6,3.6
Kosakonia sacchari,0,0,0,0,0,0,1.1,0
Kwaitsingvirus HK544,0,0,0,0,0,0,0,1
