species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetitomaculum ruminis,0,0,0,0,1.2,0,1,3.2
Acetivibrio cellulolyticus,0,0,0,0,0,0,1,0
Acetivibrio ethanolgignens,0,0,1.1,2.4,3.1,69.1,4,8
Acidaminococcus fermentans,0,0,0,0,4.5,0,21,2
Acidaminococcus intestini,0,0,0,0,468.1,1264.2,6330.8,1814.8
Acidaminococcus timonensis,0,0,0,0,0,0,5,1
Acidovorax soli,0,0,0,0,0,0,2.5,0
Acinetobacter johnsonii,0,0,0,0,5.1,5.8,13,9
Acinetobacter schindleri,0,0,0,0,0,2.3,0,0
Acinetobacter towneri,0,0,0,0,0,1.1,0,0.6
Acutalibacter muris,4.6,1.1,2,8.2,1.9,3,0,1
Adlercreutzia caecimuris,0,0,0,0,5.7,15.7,0,19.4
Adlercreutzia equolifaciens,0,0,0,0,923.6,2411.3,8099.9,3489
Adlercreutzia mucosicola,0,0,0,0,0,4.3,1.7,0
Aedoeadaptatus coxii,0,0,0,0,0,0,0,1
Aerococcus christensenii,0,0,0,0,0.8,0,1.3,0
Aerococcus viridans,0,0,0,0,0,1.1,21.2,0
Agathobacter rectalis,50238.6571428572,76339.7933333333,100992.115384615,46367.075,43425.64,38012.1559808612,12471.0384024578,77465.1154807693
Agathobaculum desmolans,17.1,0,0,0,17,47.3,41.8,47.8
Aguilavirus mEp043,0,0,0,0,0,7.3,0,0
Aguilavirus mEp213,0,0,0,0,0,0,2.7,2.2
Akkermansia muciniphila,0,0,0,0,6971.51333333333,18374.7,6972.9,11238
Alicycliphilus denitrificans,0,0,0,0,0,1,4,4
Alistipes communis,0,0,0,0,3.7,110.1,15.6,91.6
Alistipes finegoldii,540.6,3,5,376.082352941177,3807.62222222222,8841.63767487685,16004.1951038397,6975.36529713867
Alistipes ihumii,0,0,0,0,1.1,2,11.8,13.7
Alistipes inops,0,0,0,0,0,2971.7,0,4283.5
Alistipes putredinis,0,0,0,0,12342.7,0,0,0
Alistipes senegalensis,0,0,1,1,23.8,516,74.4,539.3
Alistipes shahii,8,12.9,16.3,6.2,2376.8,3285.16,9609,4638.93404255319
Alistipes timonensis,0,0,0,0,13.5,60.2,132.7,2
Alkaliphilus metalliredigens,0,0,0,0,0,1.2,0,0
Allobaculum stercoricanis,0,0,14.4,0,0,0,5.3,0
Allofournierella massiliensis,0,0,0,0,0,118.5,3.1,0
Alloprevotella rava,0,0,0,0,2.4,4.7,3.2,5.4
Alloprevotella tannerae,0,0,0,0,21.7,26.6,4.7,22.1
Alloscardovia criceti,0,0,1.2,0,2.6,6,1,6
Alloscardovia omnicolens,0,0,0,0,5,7,3,4
Alterileibacterium massiliense,0,0,0,0,5.3,9,2,5.2
Amedibacillus dolichus,9.2,6.9,7.4,6.1,15.7,34.8,61.1,26.9
Amphibacillus xylanus,0,4.7,8.6,2.3,1,0,0,0
Amylolactobacillus amylophilus,0,0,0,0,0,1.1,2.6,1.5
Anaerobutyricum hallii,0,0,0,0,6421.1,17540.9,9958.1,11091.94625
Anaerococcus lactolyticus,0,0,0,0,0,1,9.8,1.4
Anaerococcus mediterraneensis,0,0,0,0,0,0,8.8,2.4
Anaerococcus obesiensis,0,0,0,0,0,15.9,72.5,22.8
Anaerococcus prevotii,0,0,0,0,0,1,7.7,1.2
Anaerococcus provencensis,0,0,0,0,1.7,1,12.6,0
Anaerococcus tetradius,0,0,0,0,2.4,0,8.6,2.3
Anaerosphaera aminiphila,0,0,0,0,1,0,0,0
