species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,1,17,11.2,10.1
Acetivibrio cellulolyticus,0,2,0,0,0,0,4.6,0
Acetivibrio clariflavus,0,0,0,0,0,0,5.4,0
Acetivibrio ethanolgignens,6.3,10.4,7.8,10.8,25.7,71.2,119.2,52.6
Acetivibrio thermocellus,0,0,0,0,0,0,0,1.1
Acetoanaerobium sticklandii,0,0,0,0,0,0,3.7,0
Achromobacter xylosoxidans,0,0,0,0,18.1,1,9.3,0
Acidaminococcus fermentans,0,0,0,0,19.6,36.8,263.3,116.5
Acidaminococcus intestini,0,0,0,0,4765.2,12675.7052631579,63342.6,18162.075
Acidaminococcus timonensis,0,0,0,0,2,1,37.3,13
Acidovorax soli,0,0,0,0,2.2,4.3,10.1,5
Acinetobacter baumannii,0,0,0,0,0,0,4,0
Acinetobacter defluvii,0,0,0,0,0,18.3,0,0
Acinetobacter johnsonii,0,0,0,0,45,120.9,329.9,196.3
Acinetobacter junii,0,0,0,0,0,8,0,0
Actinobacillus succinogenes,0,0,0,0,0,0,1.5,0
Actinomyces urogenitalis,0,0,0,0,0,0,0,2
Actinophytocola xinjiangensis,0,0,0,0,0,4.4,0,0
Acutalibacter muris,39.6,54.2,28.3,55.2,16,17.7,10.6,22.5
Adlercreutzia caecimuris,0,0,0,0,0,0,2,1
Adlercreutzia equolifaciens,0,0,0,0,9303.8,24308.6,80979.6,34887.1
Adlercreutzia mucosicola,0,0,0,0,9.3,4,27,153.5
Aedoeadaptatus coxii,0,0,0,0,0,8.3,107.9,15.3
Aedoeadaptatus urinae,0,0,0,0,0,0,1.3,1
Aerococcus christensenii,0,0,0,0,5.9,7.8,9.8,3.2
Aeromonas fluvialis,0,0,0,0,0.4,1,0,0
Aeromonas schubertii,0,0,0,0,0,0,10,13.5
Aeromonas simiae,0,0,0,0,0,1.1,0,0
Agathobacter rectalis,508798.318379791,764856.360229885,1013849.17935003,471293.252112635,502859.461627907,236596.050857143,180502.917647059,569183.595
Agathobaculum desmolans,0,0,0,0,107.7,415.7,653.6,331.5
Aguilavirus mEp043,0,0,0,0,0,0,7.8,0
Aguilavirus mEp213,0,0,0,0,3,15.1,2.1,3.1
Akkermansia muciniphila,0,0,0,0,70357,183948,70551.4,112847
Algoriphagus faecimaris,0,0,0,0,0,0,1,2.1
Alicycliphilus denitrificans,0,0,0,0,2.3,15.4,38.5,17
Alistipes communis,0,0,0,0,32.8,610,77.1,232.6
Alistipes finegoldii,12,16,43,8,33166.9597402597,117029.692857143,100315.446309909,58738.5357268612
Alistipes ihumii,0,0,0,0,5,27,66,34
Alistipes indistinctus,0,0,0,0,0,0,1,1
Alistipes inops,0,0,0,0,11540.6,0,64970.2,42747.1
Alistipes putredinis,293006.5,0,0,264947.2,121491.6,0,0,0
