species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Enterococcus faecium,891,142,67,192,0,0,0,0
Ligilactobacillus ruminis,590,143,63,203,0,0,0,0
Phascolarctobacterium faecium,714,191,72,268,0,0,0,0
Acidaminococcus intestini,642,129,50,187,0,0,0,0
Megasphaera elsdenii,721,110,44,132,0,0,0,0
Veillonella parvula,604,78,30,115,0,0,0,0
Finegoldia magna,457,98,34,145,0,0,0,0
Faecalitalea cylindroides,49,73,34,43,0,0,0,0
Longibaculum sp. KGMB06250,31,41,18,21,14,22,0,22
Intestinibaculum porci,20,13,0,13,0,0,0,0
[Clostridium] innocuum,29,44,0,26,0,0,0,0
Amedibacterium intestinale,12,17,0,13,0,0,0,0
Bifidobacterium longum,687,2159,804,1354,0,0,0,0
Bifidobacterium bifidum,609,422,156,267,0,0,0,0
Bifidobacterium pseudocatenulatum,665,370,154,229,0,0,0,0
Bifidobacterium adolescentis,598,1098,1225,1935,6050,4253,2830,2556
Bifidobacterium angulatum,570,136,58,193,0,0,0,0
Bifidobacterium animalis,550,101,38,144,0,0,0,0
Bifidobacterium catenulatum,583,177,70,251,0,0,0,0
Gordonibacter pamelaeae,839,120,47,174,47,20,20,18
Gordonibacter urolithinfaciens,89,10,0,13,0,0,0,0
Eggerthella lenta,900,144,54,201,0,0,0,0
Eggerthella sp. YY7918,11,0,0,0,0,0,0,0
Adlercreutzia equolifaciens,810,246,99,356,0,0,0,0
Slackia heliotrinireducens,12,0,0,10,0,0,0,0
Collinsella aerofaciens,615,1013,1092,1770,6027,3883,2576,2327
Klebsiella pneumoniae,1979,770,422,1051,0,0,0,0
Klebsiella variicola,1197,110,43,185,0,0,0,0
Escherichia coli,1744,3839,1513,2397,0,0,0,0
Cupriavidus metallidurans,1708,364,138,514,0,0,0,0
Cupriavidus campinensis,11,0,0,0,0,0,0,0
Cupriavidus taiwanensis,17,0,0,0,0,0,0,0
Burkholderiales bacterium YL45,15,0,0,0,0,0,0,0
Desulfovibrio piger,586,120,46,176,0,0,0,0
Akkermansia muciniphila,816,2130,820,1307,0,0,0,0
Methanobrevibacter smithii,524,686,266,422,0,0,0,0
Homo sapiens,105,92,163,86,54,68,146,88
Anaerocolumna sp. CBA3638,0,26,0,15,0,0,0,0
Lachnoanaerobaculum umeaense,0,19,0,10,0,0,0,0
Herbinix luporum,0,14,0,0,0,0,0,0
Ruminococcus sp. JE7A12,0,17,19,21,48,40,16,42
Erysipelotrichaceae bacterium GAM147,0,16,0,0,0,0,0,0
Alloprevotella sp. E39,0,0,28,12,0,16,38,10
Tannerella serpentiformis,0,0,11,0,0,0,16,12
Alistipes sp. dk3624,0,0,13,18,42,27,21,25
Duncaniella dubosii,0,0,22,12,0,0,11,0
Muribaculum sp. TLL-A4,0,0,20,0,0,12,14,0
Muribaculum intestinale,0,0,19,0,0,0,18,0
Porphyromonas cangingivalis,0,0,15,0,0,0,13,0
Proteiniphilum saccharofermentans,0,0,15,0,0,0,14,0
Bacteroidales bacterium CF,0,0,12,0,0,0,14,0
Fibrobacter succinogenes,0,0,11,0,0,0,0,0
Libanicoccus massiliensis,0,0,11,0,0,11,14,0
Leptolyngbya sp. PCC 7376,0,0,33,0,0,17,32,18
Beggiatoa leptomitoformis,0,0,17,0,0,48,63,0
Flintibacter sp. KGMB00164,0,0,0,12,0,10,0,0
Eubacterium maltosivorans,0,0,0,17,19,16,15,27
Ruminococcus albus,0,0,0,0,11,12,10,11
Clostridiales bacterium,0,0,0,0,0,22,0,0
Mucinivorans hirudinis,0,0,0,0,0,0,13,12
