species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Bacteroides thetaiotaomicron,295240,244839,116314,174226,10612,16022,25748,15332
Bacteroides ovatus,280676,343754,136970,215188,7164,7986,7802,9543
Bacteroides fragilis,207694,169972,80218,116272,25210,24916,24051,27191
Bacteroides cellulosilyticus,188557,134891,56624,87205,2212,3522,5610,3439
Bacteroides intestinalis,151737,60282,28316,78140,8884,9991,9355,11994
Bacteroides sp. HF-5287,97250,34957,18042,42359,5368,5333,6119,4513
Bacteroides sp. CBA7301,15148,10567,7625,8902,1799,2809,4347,2995
Bacteroides sp. A1C1,28712,50428,46266,71146,132195,130154,89528,165683
Bacteroides sp. CACC 737,20437,37846,38025,57373,111297,109369,75565,139682
Bacteroides caccae,127013,173449,70765,108189,1261,2523,4632,2402
Bacteroides xylanisolvens,114836,71946,30020,46807,3988,4388,3767,5351
Bacteroides uniformis,119206,271187,290102,447454,938636,917323,624862,1170577
Bacteroides caecimuris,23869,15302,8694,12056,2571,2804,3500,2620
Bacteroides helcogenes,14152,14607,10034,11404,4017,5040,6099,5778
Prevotella heparinolytica,8689,8859,7420,6988,2682,3607,4833,3794
Bacteroides zoogleoformans,7004,6903,7068,5732,2109,3192,4856,3430
Bacteroides coprosuis,1022,796,1212,714,236,538,984,519
Phocaeicola dorei,196370,241075,253976,396191,1615716,808480,548093,493830
Phocaeicola vulgatus,185978,478350,511003,810554,1544356,1693000,1136905,2157843
Phocaeicola salanitronis,9511,9719,11267,8191,2870,4810,8549,4374
Candidatus Azobacteroides pseudotrichonymphae,226,156,99,132,0,31,39,18
Alistipes shahii,111623,41323,19764,59200,25660,16167,11571,9886
Alistipes finegoldii,87194,100650,43733,68347,32968,20175,14136,12225
Alistipes onderdonkii,7401,7385,5424,9119,22066,13553,9370,8123
Alistipes communis,4733,5717,5235,8587,26615,16127,10946,9852
Alistipes dispar,2919,3915,3834,6138,19358,11819,8131,7262
Alistipes megaguti,2245,2875,3490,4358,12794,8366,5934,5263
Alistipes indistinctus,1623,1449,1013,1628,2808,1912,1359,1269
Alistipes sp. dk3624,1035,1172,1469,1482,3299,2403,1950,1459
Mucinivorans hirudinis,344,331,981,391,552,672,1012,631
Paraprevotella xylaniphila,125712,28907,20568,38999,10830,10258,12692,8455
Prevotella intermedia,35706,12326,39593,17509,7760,18514,36791,17510
Prevotella melaninogenica,10736,7029,51328,11995,10222,24743,49404,23471
Prevotella jejuni,7463,3200,15234,4707,3002,7396,15104,7082
Prevotella denticola,4993,4197,25566,5965,5297,12833,25853,11967
Prevotella dentalis,4796,5153,35062,7331,7234,17634,34879,16316
Prevotella fusca,4640,4273,30551,6528,6413,15843,30943,14605
Hoylesella enoeca,4258,2730,15332,3956,3281,7776,15008,7194
Prevotella scopos,4222,2694,16981,4088,3381,8371,16907,7748
Segatella oris,3628,4802,39041,7427,8157,19719,39132,18497
Xylanibacter ruminicola,3171,7139,62011,11406,12676,30824,62052,29306
Prevotella sp. oral taxon 299,3158,1583,7075,2318,1499,3485,6818,3214
Alloprevotella sp. E39,730,786,2907,830,637,1449,2751,1223
Parabacteroides distasonis,152779,249254,103311,155768,9100,10138,9984,11586
Parabacteroides sp. CT06,7949,11777,6720,8087,2160,2019,2669,1613
Tannerella forsythia,1392,1168,1964,1044,409,880,1690,843
Tannerella serpentiformis,669,704,1192,639,675,797,1136,652
Odoribacter splanchnicus,128287,85632,33777,53132,1618,1610,1634,1650
Butyricimonas faecalis,3366,3119,7827,3537,4480,5115,7823,4241
Barnesiella viscericola,6416,8156,6645,5945,3128,3141,4275,2424
Muribaculum intestinale,762,856,2105,783,552,1062,1961,980
Muribaculum sp. TLL-A4,749,860,1828,779,618,958,1746,836
Duncaniella dubosii,844,905,1995,806,427,932,1707,852
Muribaculaceae bacterium DSM 108610,1267,1498,6139,1793,1711,3312,6009,3228
Porphyromonas gingivalis,1550,1010,1453,999,557,756,1112,665
Porphyromonas asaccharolytica,598,375,820,414,195,365,681,313
Porphyromonas crevioricanis,408,393,881,349,271,427,770,415
Porphyromonas cangingivalis,367,359,904,391,348,491,807,432
Dysgonomonas sp. HDW5B,496,528,839,431,137,419,711,350
Dysgonomonas sp. HDW5A,304,249,121,189,0,0,0,0
Proteiniphilum saccharofermentans,748,747,2002,768,487,1008,1891,932
Petrimonas mucosa,720,628,1173,615,303,527,998,515
Fermentimonas caenicola,348,272,453,270,136,258,376,237
Paludibacter propionicigenes,523,450,724,430,190,349,612,290
Bacteroidales bacterium CF,188,231,1027,305,370,625,1001,542
Tenuifilum thalassicum,129,85,92,85,32,55,67,45
