Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium MalM25,Planctomycetes bacterium MalM25,2282,0,1,0,0,0,0,1,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan241w,Planctomycetes bacterium Pan241w,2283,1,1,5,1,0,0,4,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan258,Planctomycetes bacterium Pan258,2284,0,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan265,Planctomycetes bacterium Pan265,2285,0,0,0,0,0,0,2,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla110,Planctomycetes bacterium Pla110,2286,2,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla163,Planctomycetes bacterium Pla163,2287,0,0,0,0,0,0,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla175,Planctomycetes bacterium Pla175,2288,0,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla85_3_4,Planctomycetes bacterium Pla85_3_4,2289,0,0,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SRT547,Planctomycetes bacterium SRT547,2290,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SV_7m_r,Planctomycetes bacterium SV_7m_r,2291,2,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V22,Planctomycetes bacterium V22,2292,0,1,3,0,0,2,1,2
Bacteria,Proteobacteria,Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,438,7,6,10,12,7,7,8,6
Bacteria,Proteobacteria,Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,441,7,2,1,5,6,0,2,2
Bacteria,Proteobacteria,Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,444,0,3,0,0,0,1,0,0
Bacteria,Proteobacteria,Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,445,0,0,1,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,446,44,33,36,32,13,17,22,15
Bacteria,Tenericutes,Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,449,1,0,0,0,0,0,0,0
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MO-XQ,Tenericutes bacterium MO-XQ,2873,1,0,0,0,0,0,0,0
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MZ-XQ,Tenericutes bacterium MZ-XQ,2874,0,0,0,2,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,2036,1,1,5,2,1,5,6,2
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,2045,2,0,0,1,1,1,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,Actinobacteria bacterium IMCC26256,Actinobacteria bacterium IMCC26256,65,0,1,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,Actinobacteria bacterium YIM 96077,Actinobacteria bacterium YIM 96077,66,1,0,1,0,2,0,2,2
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,2035,4,2,3,4,9,5,4,2
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,2029,1352,1516,1200,1448,2085,1641,1354,1716
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,2037,1,2,0,0,2,1,2,1
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,2042,7,4,9,5,0,5,10,5
Bacteria,Bacteroidetes,p_Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,1011,0,0,0,0,1,0,0,1
Bacteria,Balneolaeota,p_Balneolaeota,p_Balneolaeota,p_Balneolaeota,Candidatus Cyclonatronum,Candidatus Cyclonatronum proteinivorum,Candidatus Cyclonatronum proteinivorum,493,2,0,1,1,2,0,0,0
Bacteria,Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,Candidatus Cloacimonas,Candidatus Cloacimonas acidaminovorans,Candidatus Cloacimonas acidaminovorans,492,1,0,3,1,0,2,1,1
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,Nostocaceae,f_Nostocaceae,f_Nostocaceae,f_Nostocaceae,993,0,0,2,0,0,0,0,1
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,o_Nostocales,o_Nostocales,Nostocales cyanobacterium HT-58-2,Nostocales cyanobacterium HT-58-2,2020,0,0,0,1,0,1,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Oscillatoriales,o_Oscillatoriales,o_Oscillatoriales,Oscillatoriales cyanobacterium JSC-12,Oscillatoriales cyanobacterium JSC-12,2088,0,0,0,0,0,2,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,o_Bacillales,o_Bacillales,o_Bacillales,o_Bacillales,2028,14,14,5,8,0,2,0,1
Bacteria,Firmicutes,Bacilli,Lactobacillales,o_Lactobacillales,o_Lactobacillales,o_Lactobacillales,o_Lactobacillales,2044,19,10,2,11,0,0,0,2
Bacteria,Firmicutes,Clostridia,Clostridiales,o_Clostridiales,o_Clostridiales,o_Clostridiales,o_Clostridiales,2034,1062,471,201,409,115,97,60,116
Bacteria,Firmicutes,Clostridia,Halanaerobiales,o_Halanaerobiales,o_Halanaerobiales,o_Halanaerobiales,o_Halanaerobiales,2043,0,1,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,Ndongobacter,Ndongobacter massiliensis,Ndongobacter massiliensis,1947,2,1,0,1,0,0,0,0
Bacteria,Planctomycetes,Phycisphaerae,c_Phycisphaerae,c_Phycisphaerae,c_Phycisphaerae,Phycisphaerae bacterium RAS2,Phycisphaerae bacterium RAS2,2268,1,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales,o_Rhizobiales,o_Rhizobiales,o_Rhizobiales,2052,2,3,1,3,1,1,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,2054,1,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,2055,1,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,o_Burkholderiales,o_Burkholderiales,o_Burkholderiales,o_Burkholderiales,2031,6,0,1,7,6,0,1,0
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,o_Neisseriales,o_Neisseriales,o_Neisseriales,o_Neisseriales,2047,0,0,1,0,2,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,2048,0,0,1,2,2,0,6,0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,2053,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,o_Bradymonadales,o_Bradymonadales,o_Bradymonadales,o_Bradymonadales,2030,0,1,0,0,0,2,0,0
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,o_Desulfobacterales,o_Desulfobacterales,o_Desulfobacterales,o_Desulfobacterales,2038,0,0,0,0,1,0,0,1
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,2039,0,0,1,0,0,0,0,0
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,o_Myxococcales,o_Myxococcales,o_Myxococcales,o_Myxococcales,2046,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,o_Campylobacterales,o_Campylobacterales,o_Campylobacterales,o_Campylobacterales,2032,1,1,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,o_Cellvibrionales,o_Cellvibrionales,o_Cellvibrionales,o_Cellvibrionales,2033,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,o_Enterobacterales,o_Enterobacterales,o_Enterobacterales,o_Enterobacterales,2040,9,8,16,6,2,3,2,3
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,2050,0,0,0,0,3,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,2051,0,0,1,2,1,0,3,1
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Bathymodiolus septemdierum thioautotrophic gill symbiont,Bathymodiolus septemdierum thioautotrophic gill symbiont,334,1,0,1,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Bathymodiolus thermophilus thioautotrophic gill symbiont,Bathymodiolus thermophilus thioautotrophic gill symbiont,335,0,1,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Candidatus Baumannia cicadellinicola,Candidatus Baumannia cicadellinicola,489,1,1,0,1,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Gammaproteobacteria bacterium DM2,Gammaproteobacteria bacterium DM2,1351,0,0,4,0,0,3,2,1
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Gammaproteobacteria bacterium ESL0073,Gammaproteobacteria bacterium ESL0073,1352,0,1,0,0,0,0,0,0
Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,o_Entomoplasmatales,o_Entomoplasmatales,o_Entomoplasmatales,o_Entomoplasmatales,2041,1,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,o_Thermoplasmatales,o_Thermoplasmatales,Thermoplasmatales archaeon BRNA1,Thermoplasmatales archaeon BRNA1,2913,0,0,0,0,0,0,0,1
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,f_Acidobacteriaceae,f_Acidobacteriaceae,f_Acidobacteriaceae,960,0,2,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,f_Actinomycetaceae,f_Actinomycetaceae,f_Actinomycetaceae,961,0,0,0,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,f_Bifidobacteriaceae,f_Bifidobacteriaceae,f_Bifidobacteriaceae,965,1,0,0,1,1,1,1,1
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,f_Mycobacteriaceae,f_Mycobacteriaceae,f_Mycobacteriaceae,991,2,1,1,3,0,0,4,3
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,f_Microbacteriaceae,f_Microbacteriaceae,f_Microbacteriaceae,985,0,0,1,1,0,1,1,0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,f_Micrococcaceae,f_Micrococcaceae,f_Micrococcaceae,986,1,1,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,f_Micromonosporaceae,f_Micromonosporaceae,f_Micromonosporaceae,987,0,0,0,1,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,f_Nocardioidaceae,f_Nocardioidaceae,f_Nocardioidaceae,992,0,0,0,1,0,0,0,0
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,f_Atopobiaceae,f_Atopobiaceae,f_Atopobiaceae,963,4,2,1,3,2,1,1,0
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,f_Eggerthellaceae,f_Eggerthellaceae,f_Eggerthellaceae,973,23,15,2,10,5,0,1,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,f_Dysgonomonadaceae,f_Dysgonomonadaceae,f_Dysgonomonadaceae,972,0,0,0,0,0,0,0,2
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,f_Muribaculaceae,f_Muribaculaceae,f_Muribaculaceae,990,2,5,2,5,0,0,3,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,f_Odoribacteraceae,f_Odoribacteraceae,f_Odoribacteraceae,994,3,3,0,4,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,f_Prevotellaceae,f_Prevotellaceae,f_Prevotellaceae,1004,1,2,18,5,8,12,11,10
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,f_Rikenellaceae,f_Rikenellaceae,f_Rikenellaceae,1012,0,0,0,1,1,3,1,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,f_Tannerellaceae,f_Tannerellaceae,f_Tannerellaceae,1017,2,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,Phocaeicola,g_Phocaeicola,g_Phocaeicola,1280,345,638,556,906,2268,1849,1266,2067
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,o_Bacteroidales,Bacteroidales bacterium CF,Bacteroidales bacterium CF,309,1,2,9,4,9,5,16,2
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,f_Chitinophagaceae,f_Chitinophagaceae,f_Chitinophagaceae,968,0,0,2,0,0,0,0,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,f_Hymenobacteraceae,f_Hymenobacteraceae,f_Hymenobacteraceae,982,1,0,1,0,2,1,1,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,o_Cytophagales,o_Cytophagales,Cytophagales bacterium TFI 002,Cytophagales bacterium TFI 002,773,3,0,0,0,0,0,0,0
