"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Bacillota","Clostridia","Thermosediminibacterales","Tepidanaerobacteraceae","Tepidanaerobacter","Tepidanaerobacter acetatoxydans","Tepidanaerobacter acetatoxydans",4378,65,58,59,90,161,317,328,243
NA,"Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter","g_Teredinibacter","Teredinibacter",4379,3,2,1,4,NA,1,NA,2
NA,"Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter","Teredinibacter turnerae","Teredinibacter turnerae",4380,199,198,145,190,177,143,128,158
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Terribacillus","g_Terribacillus","Terribacillus",4381,NA,1,NA,NA,NA,NA,NA,NA
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Terribacillus","Terribacillus aidingensis","Terribacillus aidingensis",4382,95,118,165,147,180,403,342,360
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","g_Terriglobus","Terriglobus",4383,NA,NA,NA,NA,NA,1,NA,NA
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Terriglobus roseus","Terriglobus roseus",4384,1453,912,559,885,1328,320,213,416
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Terriglobus saanensis","Terriglobus saanensis",4385,260,274,314,285,226,144,145,208
NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","Tetragenococcus halophilus","Tetragenococcus halophilus",4386,165,124,87,132,222,284,351,260
NA,"Preplasmiviricota","Aquintoviricetes","Archintovirales","Phypoliviridae","Tetrivirus","Tetrivirus crimaeaense","Tetraselmis viridis virus S1",4387,NA,NA,NA,NA,NA,1,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Thalassolituus","g_Thalassolituus","Thalassolituus",4388,NA,NA,NA,NA,NA,NA,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Thalassolituus","Thalassolituus oleivorans","Thalassolituus oleivorans",4389,140,107,84,102,161,165,148,122
NA,"Uroviricota","Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","Thalassomonas phage BA3","Thalassomonas phage BA3",4390,NA,NA,NA,NA,NA,1,NA,NA
NA,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","g_Thalassospira","Thalassospira",4391,NA,NA,NA,NA,NA,1,NA,NA
NA,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","Thalassospira xiamenensis","Thalassospira xiamenensis",4392,240,238,214,235,251,179,181,217
NA,"Pseudomonadota","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea crassostreae","Thalassotalea sp. LPB0090",4393,91,98,77,114,107,152,144,142
NA,"Pseudomonadota","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Thauera","g_Thauera","Thauera",4394,44,24,17,27,40,22,45,33
NA,"Pseudomonadota","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Thauera","Thauera humireducens","Thauera humireducens",4395,362,495,505,456,260,291,460,377
NA,"Pseudomonadota","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Thauera","Thauera aminoaromatica","Thauera aminoaromatica",4396,464,732,712,694,260,282,351,438
NA,"Deinococcota","Deinococci","Thermales","Thermaceae","f_Thermaceae","f_Thermaceae","Thermaceae",4397,5,NA,1,1,NA,2,2,1
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermacetogenium","Thermacetogenium phaeum","Thermacetogenium phaeum",4398,86,134,111,128,81,164,164,203
