"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici",54,50,46,65,52,30,21,23,33
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","g_Acidithiobacillus","Acidithiobacillus",55,NA,NA,1,1,NA,NA,NA,NA
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus caldus","Acidithiobacillus caldus",56,27,22,9,26,24,10,9,11
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus ferrivorans","Acidithiobacillus ferrivorans",57,21,24,23,21,13,11,15,20
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus ferrooxidans","Acidithiobacillus ferrooxidans",58,18,28,31,27,14,6,8,14
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","f_Acidobacteriaceae","f_Acidobacteriaceae","Acidobacteriaceae",59,NA,NA,NA,NA,1,NA,NA,NA
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Acidobacterium","g_Acidobacterium","Acidobacterium",60,NA,NA,2,NA,NA,NA,NA,NA
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Acidobacterium","Acidobacterium capsulatum","Acidobacterium capsulatum",61,31,33,44,46,18,31,26,19
NA,"Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae","Acidothermus","g_Acidothermus","Acidothermus",62,NA,NA,1,NA,NA,NA,NA,NA
NA,"Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","Acidothermus cellulolyticus",63,11,21,13,17,4,9,7,14
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","g_Acidovorax","Acidovorax",64,1,NA,1,1,NA,NA,NA,NA
