"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Mycoplasmatota","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma palmae","Acholeplasma palmae",29,1,2,1,3,1,3,4,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","g_Achromobacter","Achromobacter",30,NA,1,NA,NA,NA,1,NA,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter denitrificans","Achromobacter denitrificans",31,3,5,8,6,1,2,2,7
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter xylosoxidans","Achromobacter xylosoxidans",32,14,15,20,21,7,12,15,9
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",33,14,10,9,15,9,12,16,13
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",34,4,2,6,1,52,130,646,186
NA,"Thermoproteota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus hospitalis","Acidianus hospitalis",35,NA,1,1,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Fuselloviridae","Betafusellovirus","Betafusellovirus yellowstonense","Acidianus spindle-shaped virus 1",36,NA,NA,NA,NA,NA,1,NA,NA
NA,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidihalobacter","Acidihalobacter prosperus","Acidihalobacter prosperus",37,3,2,3,1,2,3,1,1
NA,"Thermoproteota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","Acidilobus saccharovorans","Acidilobus saccharovorans",38,1,1,NA,1,NA,NA,NA,NA
NA,"Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobium","Acidimicrobium ferrooxidans","Acidimicrobium ferrooxidans",39,NA,2,2,NA,NA,NA,NA,1
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","Acidiphilium cryptum","Acidiphilium cryptum",40,1,5,2,1,1,1,3,1
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","Acidiphilium multivorum","Acidiphilium multivorum",41,1,7,2,1,2,1,3,NA
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici",42,4,3,4,7,3,1,3,2
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus caldus","Acidithiobacillus caldus",43,1,NA,2,1,2,1,NA,1
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus ferrivorans","Acidithiobacillus ferrivorans",44,2,1,3,2,2,2,1,2
NA,"Pseudomonadota","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus ferrooxidans","Acidithiobacillus ferrooxidans",45,3,3,4,4,1,NA,NA,1
NA,"Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Acidobacterium","Acidobacterium capsulatum","Acidobacterium capsulatum",46,4,6,2,4,1,2,5,NA
NA,"Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae","Acidothermus","g_Acidothermus","Acidothermus",47,NA,NA,1,NA,NA,NA,NA,NA
NA,"Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","Acidothermus cellulolyticus",48,1,3,1,2,NA,NA,1,2
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Paracidovorax","Paracidovorax avenae","Paracidovorax avenae",49,5,6,8,3,6,3,2,3
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Paracidovorax","Paracidovorax citrulli","Paracidovorax citrulli",50,6,4,8,5,2,2,4,3
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Acidovorax ebreus","[Acidovorax] ebreus",51,2,7,11,1,5,5,6,5
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. JS42","Acidovorax sp. JS42",52,4,5,12,3,7,3,9,7
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. KKS102","Acidovorax sp. KKS102",53,9,6,6,10,2,4,6,3
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. RAC01","Acidovorax sp. RAC01",54,6,5,4,4,1,2,6,4
NA,"Thermoplasmatota","p_Thermoplasmatota","p_Thermoplasmatota","p_Thermoplasmatota","Candidatus Aciduliprofundum","Candidatus Aciduliprofundum boonei","Candidatus Aciduliprofundum boonei",55,NA,NA,NA,NA,NA,NA,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","g_Acinetobacter","Acinetobacter",56,NA,NA,NA,NA,NA,1,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","Acinetobacter baumannii",57,9,4,2,4,5,8,13,11
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter equi","Acinetobacter equi",58,2,NA,2,1,1,4,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii","Acinetobacter johnsonii",59,1,1,NA,3,4,2,4,3
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter nosocomialis","Acinetobacter nosocomialis",60,NA,NA,NA,NA,1,3,2,1
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter oleivorans","Acinetobacter oleivorans",61,NA,NA,NA,NA,NA,3,1,2
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Lasallevirus","Lasallevirus Acj61","Acinetobacter phage Acj61",62,1,NA,NA,NA,NA,NA,NA,NA
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter pittii","Acinetobacter pittii",63,2,1,NA,1,4,3,5,3
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baylyi","Acinetobacter sp. ADP1",64,1,1,NA,1,1,NA,NA,2
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter larvae","Acinetobacter sp. BRTC-1",65,2,NA,NA,NA,2,1,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter sp. NCu2D-2","Acinetobacter sp. NCu2D-2",66,1,NA,NA,NA,2,1,3,NA
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter sp. TGL-Y2","Acinetobacter sp. TGL-Y2",67,1,2,1,5,1,4,1,2
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter sp. TTH0-4","Acinetobacter sp. TTH0-4",68,2,NA,2,1,2,3,1,1
NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinoalloteichus","Actinoalloteichus hymeniacidonis","Actinoalloteichus hymeniacidonis",69,1,2,3,3,1,3,3,3
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","g_Actinobacillus","Actinobacillus",70,NA,NA,NA,NA,NA,NA,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus equuli","Actinobacillus equuli",71,5,1,1,NA,2,1,1,5
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus pleuropneumoniae","Actinobacillus pleuropneumoniae",72,5,4,5,1,5,1,NA,4
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus succinogenes","Actinobacillus succinogenes",73,NA,4,2,3,1,3,1,1
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus suis","Actinobacillus suis",74,2,2,1,3,1,1,1,2
NA,"Actinomycetota","Actinomycetes","c_Actinomycetes","c_Actinomycetes","c_Actinomycetes","Actinobacteria bacterium IMCC26256","Actinobacteria bacterium IMCC26256",75,4,NA,NA,3,3,1,NA,NA
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","g_Actinomyces","Actinomyces",76,NA,NA,2,NA,NA,NA,NA,NA
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia meyeri","Actinomyces meyeri",77,5,3,2,4,3,1,1,3
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris","Actinomyces oris",78,4,5,2,5,1,3,4,1
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",79,3,9,3,2,2,2,1,4
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 414","Actinomyces sp. oral taxon 414",80,7,7,4,8,NA,NA,2,2
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Boudabousia","Boudabousia tangfeifanii","Actinomyces sp. VUL4_3",81,1,2,3,1,1,NA,2,3
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","g_Actinoplanes","Actinoplanes",82,NA,1,NA,1,NA,NA,NA,1
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes friuliensis","Actinoplanes friuliensis",83,7,8,3,4,7,4,7,7
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes missouriensis","Actinoplanes missouriensis",84,6,6,13,6,2,3,3,4
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. N902-109","Actinoplanes sp. N902-109",85,6,6,7,6,5,NA,6,5
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. SE50/110","Actinoplanes sp. SE50/110",86,5,6,7,10,6,1,9,2
NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema","Actinosynnema mirum","Actinosynnema mirum",87,3,4,14,9,6,6,3,10
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum schaalii","Actinotignum schaalii",88,1,2,5,4,4,2,NA,1
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",89,32,47,53,40,100,267,858,378
NA,"Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus","Betaentomopoxvirus ahonmai","Adoxophyes honmai entomopoxvirus 'L'",90,1,2,1,NA,1,NA,NA,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella kashmirensis","Advenella kashmirensis",91,2,2,5,3,4,NA,2,3
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella mimigardefordensis","Advenella mimigardefordensis",92,2,1,5,2,NA,2,1,2
NA,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita sublithincola","Aequorivita sublithincola",93,1,1,1,4,2,1,2,3
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus christensenii","Aerococcus christensenii",94,3,3,4,NA,3,2,2,1
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus sanguinicola","Aerococcus sanguinicola",95,NA,2,NA,3,NA,NA,2,4
