species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acidaminococcus intestini,0,0,0,0,482,1277,6442,1851
Adlercreutzia equolifaciens,0,0,0,0,989,2558,8322,3620
Agathobacter rectalis,52843,79628,103857,51255,24827,25081,12127,39846
Akkermansia muciniphila,0,0,0,0,7187,18933,7173,11556
Alistipes putredinis,29809,44896,74307,26747,12629,11573,6561,20215
Alistipes shahii,0,0,0,0,2340,5669,15246,8261
Alistipes sp.,0,0,0,0,0,0,4075,1110
Anaerobutyricum hallii,0,0,0,0,684,1827,1032,1135
Anaerostipes sp.,0,0,0,0,6638,16929,7342,10597
Angelakisella sp.,0,2222,0,0,0,0,0,0
Bacillus sp.,12,19,48,9,0,0,0,0
Bacteroides fluxus,117,181,367,116,0,0,0,0
Bacteroides fragilis,120,176,281,122,4660,12383,18751,7817
Bacteroides salyersiae,0,0,452,51,0,1588,13175,2287
Bacteroides sp.,151,263,511,163,28895,75319,81908,50241
Bacteroides stercoris,0,0,0,0,9409,27987,15598,15584
Bacteroides thetaiotaomicron,338,460,709,384,9765,24616,30415,17398
Bacteroides uniformis,85706,128995,132260,165553,35593,28403,6470,57669
Barnesiella intestinihominis,0,0,0,0,5276,13891,10651,8514
Bifidobacterium adolescentis,28255,42512,60426,25516,12723,12505,8750,20792
Bifidobacterium angulatum,0,0,0,0,564,1514,6192,2066
Bifidobacterium bifidum,0,0,0,0,1611,4226,6093,2603
Bifidobacterium longum,0,0,0,0,6594,17095,5721,10575
Blautia obeum,0,0,0,0,1510,3844,2800,2316
Blautia sp.,0,320,0,0,0,0,0,0
Clostridium lundense,9,9,19,11,0,0,0,0
Collinsella aerofaciens,30387,45683,70970,27450,11193,6695,3584,17972
Coprococcus comes,0,0,0,0,4178,15378,7198,6835
Coprococcus eutactus,0,0,0,0,2183,7727,3779,2657
Culturomica sp.,466,731,60,408,0,0,0,0
Dialister invisus,0,0,0,0,0,1192,5365,1722
Dorea formicigenerans,0,0,0,0,1157,4186,5896,1873
Dorea longicatena,0,0,0,0,3902,11321,3387,6356
Eggerthella lenta,0,0,0,0,0,0,9211,0
Enterococcus faecium,0,0,0,0,0,1049,7020,1490
Eshraghiella crossota,0,0,0,0,2672,7785,5265,4283
Faecalibacterium sp.,23719,18179,15098,33748,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,2735,8872,3924
Fusicatenibacter sp.,0,0,0,0,0,8857,0,0
Gemmiger sp.,0,0,0,0,0,0,6106,0
Gordonibacter pamelaeae,0,0,0,0,0,0,9524,0
Hoylesella timonensis,0,0,0,0,0,0,2616,0
Intestinibacter bartlettii,0,0,0,0,0,0,6097,0
Lachnospira eligens,0,0,0,0,5873,15590,8565,9493
Leyella stercorea,855,1263,2633,779,0,0,901,0
Ligilactobacillus ruminis,0,0,0,0,514,1349,5850,1936
Mediterraneibacter gnavus,0,0,0,0,0,0,4255,0
Megasphaera elsdenii,0,0,0,0,0,0,6138,0
Odoribacter splanchnicus,0,0,0,0,3293,8674,13012,5381
Parabacteroides distasonis,0,0,0,0,8865,22980,13379,14166
Parabacteroides johnsonii,390,588,1060,324,0,0,0,0
Parasutterella excrementihominis,0,0,0,0,0,0,1804,0
Phocaeicola barnesiae,0,73,225,0,0,0,0,0
Phocaeicola coprophilus,0,2,0,0,0,0,0,0
Phocaeicola plebeius,9,17,1589,9,9365,24155,11486,14748
Phocaeicola vulgatus,147706,221908,260387,249031,65406,62460,30610,106512
Prevotella bivia,0,0,0,0,1222,3198,8708,4625
Prevotella corporis,0,0,0,0,0,0,1276,0
Provencibacterium sp.,560,0,927,918,0,0,0,0
Roseburia hominis,0,0,0,0,5019,12292,15375,13477
Roseburia intestinalis,0,0,0,0,0,0,872,0
Roseburia sp.,0,0,0,0,0,5729,0,0
Ruminococcus lactaris,0,0,0,0,0,0,909,0
Ruminococcus torques,0,0,0,0,2040,6430,2160,2513
Ruthenibacterium sp.,0,0,0,0,0,0,4739,1325
Segatella copri,503090,252318,102755,236805,496302,45374,7933,82633
Streptococcus parasanguinis,0,0,0,0,0,1119,6226,1609
Streptococcus sp.,0,0,0,0,0,0,5086,0
Streptococcus thermophilus,0,0,0,0,1037,2725,5174,3929
Veillonella parvula,0,0,0,0,0,0,6034,1132
