species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Pontibacter sp. SGAir0037,18,11,0,0,0,11,12,0
Pontibacter akesuensis,15,13,12,0,11,10,0,0
Rufibacter sp. DG15C,14,0,62,13,25,41,66,35
Adhaeribacter sp. KUDC8001,11,0,11,0,0,0,12,0
Spirosoma sp. CJU-R4,12,0,0,0,19,13,13,0
Spirosoma sp. KCTC 42546,11,16,20,0,0,15,35,20
Spirosoma sp. BT328,11,0,0,0,11,0,0,0
Runella slithyformis,11,0,11,0,0,0,0,10
Fibrella sp. ES10-3-2-2,16,0,31,18,0,11,33,16
Dyadobacter fermentans,17,21,0,16,14,0,0,0
Allopseudarcicella aquatilis,15,0,0,0,0,0,0,0
Rhodocytophaga sp. 172606-1,14,0,0,0,0,0,0,0
Leadbetterella byssophila,10,0,21,0,0,0,11,0
Echinicola rosea,13,15,40,0,15,0,44,44
Echinicola vietnamensis,13,0,0,0,0,0,0,0
Algoriphagus sanaruensis,10,0,0,0,0,0,0,0
Cyclobacterium marinum,10,11,0,0,0,0,14,0
Flammeovirga sp. MY04,18,17,0,0,0,0,0,0
Flammeovirgaceae bacterium 311,15,17,84,23,27,60,113,44
Chryseolinea soli,10,0,23,18,15,18,20,14
Sphingobacterium sp. DR205,19,13,18,0,0,0,0,0
Sphingobacterium hotanense,19,0,0,14,0,0,0,0
Sphingobacterium thalpophilum,17,0,89,25,22,30,76,57
Sphingobacterium lactis,16,0,22,13,0,0,23,0
Sphingobacterium mizutaii,11,0,0,0,0,0,0,0
Sphingobacterium psychroaquaticum,10,10,0,0,0,0,0,0
Pedobacter sp. eg,14,12,38,0,0,15,22,13
Pedobacter sp. KBS0701,13,0,51,0,0,22,41,22
Pedobacter cryoconitis,14,21,11,0,0,0,0,0
Pedobacter steynii,13,12,19,10,0,16,17,0
Pedobacter ginsengisoli,13,13,18,0,0,15,26,13
Mucilaginibacter sp. HYN0043,12,0,57,15,37,18,50,22
Mucilaginibacter sp. G2-14,11,0,32,12,0,0,28,0
Mucilaginibacter sp. F39-2,10,12,26,0,0,11,11,0
Mucilaginibacter ginsenosidivorax,13,11,19,0,0,0,0,0
Pseudopedobacter saltans,25,19,0,0,0,0,0,0
Solitalea canadensis,13,18,69,22,13,31,52,21
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,15,0,13,0,0,0,18,0
Anseongella ginsenosidimutans,10,0,16,0,10,15,20,0
Chitinophaga sp. H33E-04,21,17,44,27,28,25,41,16
Chitinophaga sp. XS-30,12,14,42,0,10,21,28,13
Chitinophaga sp. MD30,12,0,0,0,0,12,14,0
