species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Flavobacterium nackdongense,73,43,103,36,0,28,77,45
Flavobacterium crocinum,84,55,29,55,0,0,14,19
Flavobacterium faecale,72,43,58,41,0,26,37,17
Flavobacterium pallidum,67,54,308,78,68,125,297,163
Flavobacterium branchiophilum,65,31,0,36,0,0,0,0
Flavobacterium sediminis,155,164,421,194,75,161,289,146
Flavobacterium haoranii,75,54,90,77,0,0,76,0
Flavobacterium gilvum,54,63,40,61,0,0,0,0
Flavobacterium psychrophilum,45,36,20,18,0,0,0,0
Flavobacterium nitrogenifigens,57,62,54,44,0,0,18,0
Flavobacterium sangjuense,40,45,42,26,0,23,32,11
Flavobacterium indicum,38,12,44,18,0,14,49,10
Flavobacterium crassostreae,33,54,18,33,0,0,0,0
Capnocytophaga sp. oral taxon 878,287,127,54,99,0,0,0,0
Capnocytophaga sp. FDAARGOS_737,80,89,55,71,0,0,0,0
Capnocytophaga sp. H2931,74,117,70,86,95,63,48,0
Capnocytophaga sp. oral taxon 864,40,0,0,0,0,0,0,0
Capnocytophaga sp. H4358,46,0,0,0,0,0,0,0
Capnocytophaga sp. oral taxon 902,32,0,0,0,0,0,0,0
Capnocytophaga sp. oral taxon 323,25,0,0,36,0,0,0,0
Capnocytophaga canimorsus,325,194,712,233,186,355,694,377
Capnocytophaga sputigena,233,203,421,184,102,249,353,214
Capnocytophaga stomatis,170,127,145,102,13,38,90,30
Capnocytophaga haemolytica,80,87,481,118,122,271,467,251
Capnocytophaga endodontalis,93,89,70,65,0,0,0,0
Capnocytophaga cynodegmi,79,85,118,111,73,131,160,118
Capnocytophaga leadbetteri,77,49,35,70,0,0,0,0
Capnocytophaga gingivalis,49,90,794,126,157,344,705,331
Capnocytophaga ochracea,70,46,0,0,0,0,0,0
Polaribacter sp. ALD11,73,33,15,30,0,0,0,0
Polaribacter sp. L3A8,68,46,40,55,107,78,73,111
Polaribacter sp. KT25b,57,30,11,28,0,0,13,0
Polaribacter sp. SA4-12,61,55,199,73,64,108,221,100
Polaribacter sp. SA4-10,33,34,13,14,0,0,0,0
Polaribacter sp. Hel1_33_78,31,16,0,15,0,0,0,0
Polaribacter sp. MED152,24,23,0,16,0,0,0,0
Polaribacter reichenbachii,75,27,16,35,0,0,0,0
Polaribacter vadi,47,43,198,51,0,98,175,0
Flavobacteriaceae bacterium 10Alg115,86,80,105,79,56,89,103,91
Flavobacteriaceae bacterium,71,47,17,26,0,0,0,0
Flavobacteriaceae bacterium F202Z8,68,60,46,34,0,0,0,0
Flavobacteriaceae bacterium 3519-10,74,70,31,77,92,97,52,41
Flavobacteriaceae bacterium MAR_2010_188,51,51,355,79,53,167,316,161
Flavobacteriaceae bacterium UJ101,36,31,17,32,0,0,0,0
Flavobacteriaceae bacterium RR4-40,34,78,312,62,66,158,313,152
Gramella fulva,79,43,73,48,16,30,67,26
Christiangramia forsetii,72,66,64,58,12,20,41,25
Gramella sp. MAR_2010_147,65,50,23,29,0,0,0,0
Christiangramia flava,69,75,170,55,54,89,154,59
Gramella salexigens,55,81,394,104,71,208,391,159
Christiangramia echinicola,50,44,24,42,43,48,22,57
Winogradskyella sp. PG-2,58,52,20,34,0,0,0,0
Winogradskyella sp. Z354,63,63,488,116,115,266,510,251
Winogradskyella sp. PC-19,52,49,0,35,0,0,0,0
Winogradskyella sp. Z215,51,72,0,53,0,0,0,0
Winogradskyella sp. J14-2,28,20,0,21,0,0,0,0
Winogradskyella sp. SW133,76,0,0,0,0,0,0,0
Winogradskyella sediminis,69,51,37,33,0,0,15,0
Formosa sp. L2A11,103,49,46,35,0,17,23,0
Formosa sp. Hel1_31_208,49,38,26,29,0,0,10,0
Formosa sp. Hel3_A1_48,49,32,0,18,0,0,0,0
Formosa sp. Hel1_33_131,32,35,14,21,0,0,0,0
Formosa agariphila,87,63,25,57,0,0,0,0
Formosa sediminum,55,37,11,30,0,0,0,0
Myroides phaeus,83,62,21,59,0,0,0,0
Myroides odoratus,69,73,27,41,0,0,0,0
Myroides sp. CJ210,53,56,22,42,0,0,0,0
Myroides profundi,36,58,32,52,0,0,0,0
Myroides odoratimimus,74,0,0,0,0,0,0,0
