species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Bacillus sp. X1(2014),73,77,40,54,34,24,31,42
Bacillus sp. NSP9.1,60,105,47,65,38,45,21,40
Bacillus sp. THAF10,61,40,16,32,0,0,0,0
Bacillus sp. FJAT-22090,65,85,39,56,0,0,0,0
Bacillus sp. FJAT-45348,55,66,29,56,69,43,34,43
Bacillus sp. Y1,48,64,28,45,0,0,0,0
Bacillus sp. L13 (2020),48,31,25,23,0,0,0,0
Bacillus sp. KH172YL63,47,106,37,70,0,0,0,0
Bacillus sp. Cs-700,44,38,22,32,0,0,0,0
Bacillus sp. N1-1,42,45,0,39,0,0,0,0
Bacillus sp. OxB-1,32,43,11,30,0,0,0,0
Bacillus sp. M4U3P1,20,37,10,16,0,0,0,0
Bacillus sp. ms-22,32,49,0,0,0,0,0,0
Bacillus sp. BD59S,23,0,0,0,0,0,0,0
Bacillus sp. WP8,12,18,0,0,0,0,0,0
Bacillus cereus,1438,773,478,1151,0,0,138,52
Bacillus thuringiensis,355,548,126,200,101,87,76,87
Bacillus cytotoxicus,90,136,64,109,32,17,13,24
Bacillus pseudomycoides,57,80,28,60,0,0,0,0
Bacillus mycoides,48,82,42,55,0,0,23,0
Bacillus luti,17,23,0,23,0,0,0,0
Bacillus albus,14,34,14,11,0,0,0,0
Bacillus wiedmannii,11,24,0,11,0,0,0,0
Bacillus paranthracis,122,251,186,164,562,374,234,557
Bacillus velezensis,337,291,163,210,0,0,0,0
Bacillus amyloliquefaciens,106,160,58,141,0,0,0,0
Bacillus subtilis,253,336,95,160,0,0,0,0
Bacillus sonorensis,61,78,29,61,0,13,11,0
Bacillus vallismortis,67,92,67,94,230,158,86,134
Bacillus atrophaeus,124,228,58,75,81,49,37,54
Bacillus tequilensis,46,49,16,19,0,0,0,0
Bacillus paralicheniformis,41,74,39,80,57,57,23,71
Bacillus mojavensis,17,22,14,20,13,12,0,0
Priestia megaterium,287,258,130,217,155,95,0,158
Niallia circulans,163,147,102,141,75,62,55,65
Bacillus filamentosus,117,90,47,82,94,79,31,73
Heyndrickxia coagulans,116,165,68,117,16,13,0,0
Bacillus pumilus,123,145,75,106,154,72,69,131
Bacillus marisflavi,97,119,56,89,68,58,37,46
Bacillus freudenreichii,87,101,282,87,65,135,288,145
Bacillus weihaiensis,88,81,33,83,0,0,0,0
Bacillus thermoamylovorans,101,91,59,84,0,0,0,0
Bacillus ciccensis,78,120,44,89,46,35,18,31
Sutcliffiella horikoshii,76,73,20,48,0,0,0,0
Bacillus infantis,74,95,37,67,0,0,0,0
Bacillus glycinifermentans,69,98,42,75,78,53,38,47
Bacillus altitudinis,119,99,61,80,0,0,0,0
Bacillus methanolicus,61,39,11,35,0,0,0,0
Bacillus smithii,85,80,39,62,54,20,0,0
Bacillus dafuensis,59,64,31,56,0,0,0,0
Bacillus gobiensis,56,42,16,32,0,0,0,0
Priestia flexa,55,45,25,29,0,0,0,0
Lederbergia lenta,51,37,18,19,0,0,0,0
Bacillus beveridgei,55,43,18,41,0,0,0,0
Evansella cellulosilytica,46,44,0,40,0,0,0,0
Bacillus safensis,43,52,47,43,0,14,31,15
Bacillus haynesii,35,22,0,14,0,0,0,0
Rossellomorea vietnamensis,32,65,35,44,37,22,15,19
Sutcliffiella cohnii,30,29,11,15,0,0,0,0
Peribacillus frigoritolerans,26,34,12,18,0,0,0,0
Bacillus miscanthi,24,33,0,21,0,0,0,0
Virgibacillus sp. Bac332,51,59,21,37,0,0,0,0
Virgibacillus sp. MSP4-1,42,59,12,25,0,0,0,0
Virgibacillus sp. 6R,40,31,0,22,0,0,0,0
Virgibacillus sp. SK37,34,49,43,40,0,10,21,10
Virgibacillus sp. Bac330,25,31,0,29,0,0,0,0
Virgibacillus phasianinus,99,91,36,71,0,0,0,0
Virgibacillus necropolis,57,78,29,47,10,0,0,10
Virgibacillus halodenitrificans,59,64,28,58,0,0,0,0
Virgibacillus dokdonensis,47,31,0,20,0,0,0,0
Lysinibacillus sp. SGAir0095,77,94,41,65,109,51,42,87
Lysinibacillus sp. YS11,77,47,0,23,0,0,0,0
Lysinibacillus sp. 2017,75,61,54,55,20,0,41,28
Lysinibacillus timonensis,80,91,32,77,0,0,0,0
Lysinibacillus sphaericus,98,119,44,76,0,0,0,0
Lysinibacillus fusiformis,30,31,0,41,57,70,31,30
Halalkalibacter krulwichiae,86,63,23,48,0,0,0,0
Shouchella clausii,56,31,0,29,0,0,0,0
Alkalihalophilus pseudofirmus,57,48,23,27,0,0,0,0
Shouchella lehensis,57,61,25,34,0,0,0,0
Halalkalibacterium halodurans,29,37,0,28,0,0,0,0
Peribacillus simplex,98,78,28,50,0,0,0,0
Peribacillus muralis,70,66,27,45,0,0,0,0
Peribacillus butanolivorans,54,50,28,46,0,0,0,0
Peribacillus asahii,48,41,26,41,62,55,47,62
Geobacillus subterraneus,84,78,39,57,49,0,0,0
Geobacillus thermodenitrificans,36,74,26,41,0,0,0,0
Geobacillus stearothermophilus,65,17,0,16,0,0,0,0
Geobacillus genomosp. 3,21,25,0,18,0,0,0,0
Oceanobacillus iheyensis,90,74,45,67,56,50,41,60
Oceanobacillus sp. 160,66,66,14,52,0,0,0,0
Oceanobacillus kimchii,39,36,10,29,0,0,0,0
Halobacillus mangrovi,76,80,36,56,0,0,0,0
Halobacillus halophilus,61,70,28,53,0,0,0,0
Halobacillus litoralis,38,70,192,64,45,105,192,91
Metabacillus sp. KUDC1714,96,142,44,125,65,31,43,66
Metabacillus litoralis,72,67,41,72,79,37,48,64
Cytobacillus oceanisediminis,100,155,53,100,0,0,0,0
Cytobacillus kochii,54,41,54,43,33,25,53,43
Anoxybacillus flavithermus,86,62,27,36,0,0,0,0
Anoxybacillus amylolyticus,28,26,26,19,0,0,24,0
Mesobacillus jeotgali,75,71,32,64,68,47,34,45
Mesobacillus foraminis,61,81,27,48,15,20,0,26
Fictibacillus phosphorivorans,74,109,48,76,91,65,46,80
Fictibacillus arsenicus,55,70,23,49,0,0,0,0
Pradoshia sp. D12,120,112,31,87,0,0,0,0
Neobacillus mesonae,88,113,54,89,14,11,0,0
Neobacillus thermocopriae,21,42,18,17,0,0,0,0
Parageobacillus thermoglucosidasius,102,113,74,77,0,0,0,0
Parageobacillus genomosp. 1,15,35,11,20,0,0,0,0
Pontibacillus sp. HMF3514,76,101,51,89,0,0,13,13
Lentibacillus amyloliquefaciens,50,46,23,53,87,51,40,83
Lentibacillus sp. CBA3610,22,31,18,29,0,0,0,0
Paraliobacillus sp. X-1125,70,72,21,60,0,0,0,0
Psychrobacillus glaciei,49,37,12,26,0,0,0,0
Psychrobacillus sp. AK 1817,42,0,0,0,0,0,0,0
Salimicrobium jeotgali,60,122,235,105,122,128,246,182
Amphibacillus xylanus,53,44,22,34,0,0,0,0
Gracilibacillus sp. SCU50,52,38,11,39,0,0,0,0
Salicibibacter kimchii,25,31,12,27,0,0,0,0
Salicibibacter halophilus,20,16,0,21,17,18,0,17
Terribacillus goriensis,36,43,20,33,31,17,10,21
Bacillaceae bacterium TKL69,35,22,12,14,0,0,0,0
Aeribacillus pallidus,48,30,22,34,0,0,0,0
Paenibacillus sp. BIHB4019,95,78,40,46,0,0,0,0
Paenibacillus sp. E222,90,112,59,90,0,0,0,0
Paenibacillus sp. CAA11,88,97,40,81,0,0,0,0
Paenibacillus sp. FSL R7-0331,88,179,70,117,0,0,0,0
Paenibacillus sp. DCT19,83,104,33,75,14,0,0,0
Paenibacillus sp. IHBB 10380,81,82,27,60,0,0,0,0
Paenibacillus sp. FSL H7-0357,77,72,36,76,44,34,23,44
Paenibacillus sp. FSL R7-0273,80,91,41,82,53,34,21,32
Paenibacillus sp. B01,92,102,70,88,0,0,0,0
Paenibacillus sp. FSL R5-0345,93,101,46,75,0,0,0,0
Paenibacillus sp. 32O-W,70,100,45,80,0,0,0,0
Paenibacillus sp. JDR-2,70,102,64,73,0,0,15,0
Paenibacillus sp. 14171R-81,69,85,44,58,0,14,13,0
Paenibacillus sp. HB172198,57,53,35,75,66,48,33,28
Paenibacillus sp. FSL P4-0081,90,176,33,126,0,0,0,0
Paenibacillus sp. RUD330,55,60,21,37,0,0,0,0
Paenibacillus sp. FSL R5-0912,79,113,39,72,0,0,0,0
Paenibacillus sp. 37,61,65,46,71,51,48,34,53
Paenibacillus sp. FSL H7-0737,62,71,36,58,0,0,0,0
Paenibacillus sp. UniB2,57,20,13,35,51,30,36,15
Paenibacillus sp. IHB B 3084,50,39,50,31,12,30,39,27
Paenibacillus sp. 12200R-189,39,57,31,55,0,0,0,0
Paenibacillus sp. Y412MC10,46,56,25,33,40,35,15,19
Paenibacillus sp. URB8-2,25,50,33,43,0,0,0,0
Paenibacillus durus,136,159,69,93,40,22,12,10
Paenibacillus lentus,130,168,72,142,26,21,42,41
Paenibacillus polymyxa,565,700,861,563,241,331,531,400
Paenibacillus guangzhouensis,107,141,58,124,90,75,41,69
Paenibacillus stellifer,95,106,27,64,0,0,0,0
Paenibacillus bovis,97,79,47,90,50,47,23,47
Paenibacillus odorifer,95,136,64,88,38,24,30,15
Paenibacillus cellulositrophicus,89,103,41,83,20,18,0,13
Paenibacillus thiaminolyticus,88,97,33,42,0,0,0,0
Paenibacillus mucilaginosus,84,127,33,81,50,21,13,17
Paenibacillus larvae,83,138,54,88,11,0,0,0
Paenibacillus xylanilyticus,84,156,336,121,55,164,268,121
Paenibacillus donghaensis,80,137,89,103,0,15,37,16
Paenibacillus alvei,79,105,46,80,0,0,0,0
Paenibacillus barcinonensis,82,128,268,139,91,128,293,128
Paenibacillus physcomitrellae,88,158,48,81,0,0,0,0
Paenibacillus riograndensis,78,117,387,131,138,239,385,226
Paenibacillus yonginensis,83,111,43,88,55,34,11,52
Paenibacillus naphthalenovorans,67,102,151,61,138,135,180,167
Paenibacillus antarcticus,62,59,187,61,42,92,190,72
Paenibacillus protaetiae,61,50,64,52,17,31,45,18
Paenibacillus psychroresistens,55,78,32,53,45,31,37,41
Paenibacillus ihbetae,56,75,279,111,141,204,278,223
Paenibacillus sabinae,54,51,24,45,0,0,0,0
Paenibacillus lutimineralis,51,77,41,54,16,0,0,0
Paenibacillus crassostreae,52,46,12,30,0,0,0,0
Paenibacillus graminis,58,116,354,113,61,144,275,155
Paenibacillus baekrokdamisoli,49,64,42,55,60,47,27,59
Paenibacillus borealis,54,144,361,127,78,149,291,133
Paenibacillus albus,48,44,21,31,0,0,0,0
Paenibacillus lautus,69,122,46,76,0,0,0,0
Paenibacillus xylanexedens,59,53,28,30,0,0,0,0
Paenibacillus brasilensis,53,65,28,49,0,0,0,0
Paenibacillus chitinolyticus,42,80,44,75,30,21,19,27
Paenibacillus jilunlii,45,60,22,64,54,43,31,47
Paenibacillus beijingensis,31,73,21,61,69,49,41,77
Paenibacillus kribbensis,34,50,19,37,16,0,0,0
Paenibacillus cellulosilyticus,30,59,24,38,0,0,0,0
Paenibacillus glucanolyticus,169,119,108,139,0,41,51,38
Paenibacillus terrae,32,32,13,34,0,0,0,0
Paenibacillus swuensis,25,49,0,21,18,13,0,10
Brevibacillus laterosporus,260,238,71,159,0,0,0,0
Brevibacillus brevis,127,157,245,150,137,128,198,153
Brevibacillus sp. SCSIO 07484,38,46,18,37,0,0,0,0
Brevibacillus agri,39,37,0,42,47,28,12,22
Brevibacillus formosus,33,31,14,24,0,0,0,0
Cohnella sp. KS 22,72,80,20,52,0,0,0,0
Cohnella sp. MFER-1,65,46,26,48,54,63,24,62
Cohnella abietis,43,41,15,50,19,12,11,13
Cohnella candidum,36,38,14,25,0,0,0,0
Saccharibacillus brassicae,116,133,55,126,116,72,48,31
Aneurinibacillus soli,57,63,34,45,0,0,0,0
Aneurinibacillus sp. XH2,46,44,27,50,34,16,19,18
Paenibacillaceae bacterium GAS479,69,86,64,89,57,77,61,50
Thermobacillus composti,40,44,20,33,26,25,18,22
Staphylococcus aureus,397,265,113,420,0,0,0,0
Staphylococcus epidermidis,110,46,23,54,15,18,0,0
Staphylococcus capitis,84,23,0,38,0,0,0,0
Staphylococcus hominis,85,93,21,54,0,0,0,0
Staphylococcus sciuri,77,68,10,40,0,0,0,0
Staphylococcus simulans,70,32,15,36,0,0,0,0
Staphylococcus condimenti,62,51,0,34,0,0,0,0
Staphylococcus xylosus,59,62,25,34,0,0,0,0
Staphylococcus pasteuri,61,35,0,14,0,0,0,0
Staphylococcus sp. 17KM0847,33,38,20,30,61,38,22,65
Staphylococcus sp. SDB 2975,21,13,0,14,0,0,0,0
Staphylococcus nepalensis,58,44,14,29,0,0,0,0
Staphylococcus simiae,56,54,21,45,0,0,0,0
Staphylococcus agnetis,56,21,0,21,0,0,0,0
Staphylococcus haemolyticus,59,34,17,36,0,0,0,0
Staphylococcus auricularis,50,28,0,25,0,0,0,0
Staphylococcus saprophyticus,57,32,47,53,20,17,17,0
Mammaliicoccus vitulinus,48,40,0,32,0,0,0,0
Staphylococcus caprae,49,62,17,39,0,0,0,0
Staphylococcus stepanovicii,45,31,0,16,0,0,0,0
Staphylococcus cohnii,47,52,28,47,0,0,0,0
Staphylococcus arlettae,48,29,13,23,0,0,0,0
Staphylococcus hyicus,44,33,21,31,0,0,0,0
Staphylococcus carnosus,46,56,21,52,76,51,60,115
Staphylococcus pettenkoferi,40,65,20,48,0,0,0,0
Staphylococcus schleiferi,45,24,0,11,0,0,0,0
Staphylococcus lugdunensis,38,32,23,22,0,0,0,0
Staphylococcus felis,37,46,30,34,0,14,14,0
Staphylococcus muscae,36,36,30,22,0,0,20,0
Mammaliicoccus lentus,39,27,16,18,0,0,0,0
Staphylococcus pseudintermedius,30,29,0,21,0,0,0,0
Staphylococcus kloosii,25,28,14,13,0,0,0,0
Staphylococcus delphini,25,34,12,14,0,0,0,0
Staphylococcus equorum,108,65,0,45,0,0,0,0
Staphylococcus piscifermentans,24,35,0,28,27,25,13,21
Staphylococcus succinus,20,20,0,21,0,0,0,0
Staphylococcus schweitzeri,24,20,0,12,0,0,0,0
Staphylococcus chromogenes,18,25,0,0,0,0,0,0
Staphylococcus warneri,43,0,32,0,0,0,0,0
Staphylococcus lutrae,10,0,0,0,0,0,0,0
Macrococcus sp. IME1552,100,76,21,42,0,0,0,0
Macrococcus canis,66,77,41,77,18,0,0,29
Macrococcoides caseolyticum,37,45,0,33,0,0,0,0
Jeotgalicoccus saudimassiliensis,43,58,28,48,18,21,0,12
Salinicoccus halodurans,43,43,25,60,123,96,57,80
Auricoccus indicus,40,42,23,23,0,0,0,0
Planococcus sp. Y42,66,103,367,111,129,250,349,198
Planococcus sp. PAMC 21323,39,60,210,49,40,103,205,106
Planococcus sp. MB-3u-03,31,52,20,57,39,21,16,37
Planococcus antarcticus,60,79,29,35,0,0,0,0
Planococcus rifietoensis,56,92,29,54,0,0,0,0
Planococcus versutus,47,71,23,18,33,20,0,29
Planococcus maritimus,45,44,0,35,0,0,0,0
Planococcus halocryophilus,40,71,32,51,0,0,0,0
Planococcus donghaensis,20,19,0,0,0,0,0,0
Planococcus dechangensis,22,45,15,20,0,0,0,0
Planococcus kocurii,52,0,0,33,0,0,0,0
Planococcus plakortidis,20,0,0,13,0,0,0,0
Sporosarcina ureae,200,214,103,172,71,57,30,67
Sporosarcina sp. PTS2304,57,47,64,103,83,47,31,91
Sporosarcina sp. P33,68,0,0,0,0,0,0,0
Sporosarcina psychrophila,54,42,17,19,0,0,0,0
Sporosarcina ureilytica,48,40,0,19,0,0,0,0
Sporosarcina pasteurii,44,23,0,32,0,0,0,0
Kurthia sp. 11kri321,86,61,18,48,0,0,0,0
Kurthia zopfii,61,42,0,22,0,0,0,0
Solibacillus silvestris,108,86,20,55,0,0,0,0
Solibacillus sp. R5-41,19,48,19,30,0,0,0,0
Jeotgalibacillus malaysiensis,96,99,42,97,121,90,72,109
Planococcus glaciei,91,89,42,69,63,60,30,60
Ureibacillus thermosphaericus,204,192,70,156,0,0,0,0
Paenisporosarcina antarctica,48,56,15,43,0,0,0,0
Paenisporosarcina sp. K2R23-3,32,36,19,27,0,0,0,0
Rummeliibacillus stabekisii,43,23,19,20,0,0,0,0
Gemella haemolysans,136,98,42,62,0,0,0,0
Gemella sp. oral taxon 928,87,90,0,97,0,0,0,0
Gemella sanguinis,64,39,11,49,0,0,0,0
Gemella morbillorum,59,30,42,30,0,0,0,0
Exiguobacterium sp. N4-1P,65,53,0,42,0,0,0,0
Exiguobacterium sp. AT1b,13,25,0,22,0,0,0,0
Exiguobacterium antarcticum,66,47,13,55,0,0,0,0
Exiguobacterium artemiae,51,50,45,41,0,0,0,0
Exiguobacterium mexicanum,37,63,32,53,0,0,0,0
Listeria monocytogenes,149,411,185,180,0,0,0,0
Listeria innocua,101,70,20,51,0,0,0,0
Listeria weihenstephanensis,51,52,23,47,10,16,0,14
Listeria welshimeri,52,25,13,26,0,0,0,0
Listeria grayi,42,66,37,42,0,0,0,0
Listeria sp. PSOL-1,40,37,0,24,0,0,0,0
Listeria ivanovii,37,57,20,38,0,0,0,0
Listeria seeligeri,25,24,0,0,0,0,0,0
Brochothrix thermosphacta,55,56,29,50,0,0,0,0
Tumebacillus avium,105,67,22,76,117,86,48,39
Tumebacillus algifaecis,39,54,17,26,0,0,0,0
Alicyclobacillus acidocaldarius,91,67,31,52,38,26,15,10
Kyrpidia tusciae,13,31,17,0,0,0,0,0
Salisediminibacterium selenitireducens,121,177,72,125,0,0,0,0
Sporolactobacillus terrae,57,75,33,82,67,45,35,54
Kroppenstedtia pulmonis,20,21,12,16,0,0,0,0
Kroppenstedtia eburnea,19,17,16,14,15,0,0,0
Laceyella sacchari,34,37,22,29,39,15,27,15
Staphylospora marina,33,52,317,77,58,130,207,128
Thermoactinomyces vulgaris,28,34,17,31,0,0,0,0
Phascolarctobacterium faecium,71066,19525,7497,27072,144,103,58,138
Acidaminococcus intestini,64577,12959,4963,18496,0,0,0,0
Acidaminococcus fermentans,215,198,89,144,0,0,0,0
Megasphaera elsdenii,72084,10305,4065,13540,33,65,127,74
Megasphaera stantonii,255,236,116,215,153,172,127,237
Veillonella parvula,60474,7948,3059,11420,45,52,28,52
Veillonella rodentium,108,73,36,88,80,55,38,66
Veillonella sp. T1-7,65,50,47,40,0,17,30,16
Veillonella atypica,53,50,16,32,0,0,0,0
Veillonella dispar,37,21,0,15,0,0,0,0
Dialister pneumosintes,503,185,738,176,0,0,0,0
Dialister hominis,712,268,0,314,0,0,0,0
Dialister massiliensis,525,202,0,219,0,0,0,0
Selenomonas sp. oral taxon 126,104,86,104,60,36,70,111,63
Selenomonas sp. oral taxon 920,71,66,53,81,79,48,43,77
Selenomonas sp. oral taxon 478,80,98,0,71,0,0,0,0
Selenomonas sp. oral taxon 136,57,43,53,57,0,0,0,0
Selenomonas ruminantium,308,295,449,256,125,175,339,174
Selenomonas sputigena,128,90,35,95,43,30,17,0
Megamonas funiformis,195,143,58,127,0,10,16,0
Megamonas hypermegale,193,155,53,115,0,0,0,15
Pectinatus frisingensis,99,116,43,75,0,0,0,0
Pelosinus sp. UFO1,129,101,49,84,0,13,28,0
Pelosinus fermentans,64,58,30,50,0,0,0,0
Sporomusa termitida,108,80,47,94,47,37,17,30
Methylomusa anaerophila,57,57,26,47,12,11,13,0
Finegoldia magna,51144,10834,4112,15432,48,53,30,51
Peptoniphilus harei,323,137,46,169,95,82,55,118
Peptoniphilus sp. ING2-D1G,148,198,352,187,66,153,286,157
Peptoniphilus ivorii,62,82,309,101,131,170,337,211
Anaerococcus mediterraneensis,198,96,62,74,0,0,18,0
Anaerococcus prevotii,179,105,30,85,32,21,16,27
Parvimonas micra,111,84,35,69,0,0,0,0
Murdochiella vaginalis,68,71,31,92,57,40,32,62
Tissierellia sp. JN-28,142,109,56,107,68,52,32,62
Gudongella oleilytica,89,93,20,63,0,0,0,0
Schnuerera ultunensis,83,82,37,62,0,0,0,0
Gottschalkia acidurici,110,78,39,76,37,28,0,27
Ezakiella massiliensis,560,158,73,185,0,0,0,0
Faecalitalea cylindroides,7053,7965,2861,5527,109,123,128,131
[Clostridium] innocuum,4372,6095,2363,4301,103,141,78,149
Thomasclavelia ramosa,642,354,402,370,60,153,306,146
Longibaculum sp. KGMB06250,2903,4057,1666,3078,599,710,499,915
Intestinibaculum porci,1971,1149,396,1145,42,28,28,31
Amedibacterium intestinale,1668,1738,687,1343,38,39,43,63
Erysipelotrichaceae bacterium GAM147,977,898,346,738,47,52,34,57
Erysipelothrix sp. HDW6A,91,82,29,51,17,14,0,15
Erysipelothrix sp. HDW6B,78,38,30,61,91,81,39,123
Erysipelothrix sp. HDW6C,70,66,30,46,0,0,0,0
Erysipelothrix rhusiopathiae,188,157,59,138,0,0,0,0
Erysipelothrix larvae,96,74,30,48,0,0,0,0
Erysipelothrix piscisicarius,90,91,27,69,0,0,0,0
Faecalibaculum rodentium,282,267,82,222,10,0,0,0
Turicibacter sp. H121,139,203,96,171,0,0,0,0
Turicibacter sanguinis,79,64,22,49,0,0,0,0
Ndongobacter massiliensis,78,77,41,73,29,24,12,27
endosymbiont 'TC1' of Trimyema compressum,53,45,13,25,0,0,0,0
Limnochorda pilosa,31,29,13,17,11,0,0,10
Bifidobacterium longum,70812,213805,82900,132277,296,197,116,126
Bifidobacterium bifidum,61794,43170,16601,26508,107,60,52,36
Bifidobacterium pseudocatenulatum,64820,38116,14609,23721,88,53,29,35
Bifidobacterium adolescentis,59438,109882,120418,194302,604923,425509,282998,255383
Bifidobacterium angulatum,57318,13776,5624,19809,265,307,417,239
Bifidobacterium animalis,55145,10092,3913,14519,20,0,0,0
Bifidobacterium catenulatum,57647,18138,6955,26163,261,144,128,89
Bifidobacterium breve,363,492,223,367,221,131,97,80
Bifidobacterium dentium,102,102,46,77,61,65,18,17
Bifidobacterium pseudolongum,50,43,18,44,38,29,23,29
Bifidobacterium scardovii,50,38,12,28,0,0,0,0
Bifidobacterium thermophilum,38,44,26,34,11,10,11,10
Bifidobacterium asteroides,30,23,0,23,0,15,13,15
Bifidobacterium pullorum subsp. gallinarum,24,48,19,30,0,0,0,0
Bifidobacterium choerinum,19,12,0,16,0,0,0,0
Bifidobacterium actinocoloniiforme,14,14,0,0,0,0,0,0
Gardnerella vaginalis,85,91,45,83,53,55,33,60
Scardovia inopinata,18,23,0,0,0,0,0,0
Corynebacterium sp. NML98-0116,29,26,0,32,0,0,0,0
Corynebacterium sp. sy039,27,30,179,41,38,86,145,73
Corynebacterium sp. 1959,26,13,0,0,0,0,0,0
Corynebacterium sp. 2184,15,0,12,0,0,0,0,0
Corynebacterium sp. LMM-1652,13,29,10,22,0,0,0,0
Corynebacterium sp. Marseille-Q3630,14,12,0,0,0,0,0,0
Corynebacterium vitaeruminis,42,51,30,64,82,77,45,32
Corynebacterium jeikeium,61,97,133,87,118,130,112,91
Corynebacterium ulcerans,33,69,315,81,100,188,320,203
Corynebacterium marinum,32,0,0,20,13,0,0,0
Corynebacterium epidermidicanis,25,0,0,12,0,0,0,0
Corynebacterium endometrii,23,46,302,72,141,208,322,226
Corynebacterium casei,31,46,14,20,0,0,0,0
Corynebacterium simulans,28,26,20,44,0,0,0,0
Corynebacterium camporealensis,20,0,0,0,0,0,0,0
Corynebacterium flavescens,19,21,103,15,23,48,82,51
Corynebacterium striatum,23,29,0,39,57,29,42,22
Corynebacterium ammoniagenes,19,36,150,54,77,87,164,92
Corynebacterium diphtheriae,20,15,14,26,61,32,28,22
Corynebacterium xerosis,21,0,0,15,0,0,0,0
Corynebacterium pelargi,18,0,0,0,0,0,0,0
Corynebacterium sphenisci,17,12,0,0,0,0,0,0
Corynebacterium minutissimum,16,0,0,0,0,0,0,0
Corynebacterium matruchotii,15,10,0,0,0,0,0,0
Corynebacterium testudinoris,14,23,15,22,63,30,21,19
Corynebacterium glutamicum,136,0,0,0,0,0,0,0
Corynebacterium segmentosum,13,20,21,22,76,58,34,45
Corynebacterium deserti,14,12,0,0,0,0,0,0
Corynebacterium kutscheri,12,28,13,21,0,0,0,0
Corynebacterium urealyticum,14,0,0,0,0,0,0,0
Corynebacterium nuruki,12,0,0,16,20,13,14,0
Corynebacterium uterequi,11,0,0,13,0,0,0,0
Corynebacterium glyciniphilum,10,13,12,31,52,37,25,19
Corynebacterium genitalium,10,23,134,24,23,61,143,62
Corynebacteriaceae bacterium 'ARUP UnID 227',24,0,0,0,0,0,0,0
Mycolicibacterium aurum,42,28,23,27,14,0,0,0
Mycolicibacterium gilvum,70,53,30,77,19,0,0,13
Mycolicibacterium moriokaense,23,0,0,11,0,0,0,0
Mycolicibacterium mageritense,21,25,0,19,0,0,0,0
Mycolicibacterium helvum,17,0,0,0,17,17,0,0
Mycolicibacterium litorale,23,0,0,0,0,0,0,0
Mycolicibacterium smegmatis,18,0,0,0,0,0,0,0
Mycolicibacterium arabiense,16,11,0,0,0,0,0,0
Mycolicibacterium sediminis,15,0,0,0,0,0,0,0
Mycolicibacterium phlei,17,0,0,0,0,0,0,0
Mycolicibacterium frederiksbergense,25,35,0,36,26,0,0,0
Mycolicibacterium alvei,20,0,0,0,0,0,0,0
Mycolicibacterium psychrotolerans,13,0,0,0,0,0,0,0
Mycolicibacterium vanbaalenii,20,27,0,27,82,67,70,56
Mycolicibacterium fortuitum,14,35,568,53,68,219,561,252
Mycolicibacterium aubagnense,14,0,0,0,0,0,0,0
Mycolicibacterium aichiense,16,0,0,0,0,0,0,0
Mycobacterium heidelbergense,40,0,0,0,0,0,0,0
Mycobacterium shigaense,16,14,0,0,0,0,0,0
Mycobacterium simiae,10,0,0,0,0,0,0,0
Mycobacterium sp. DL592,14,14,0,14,42,16,18,0
Mycobacterium haemophilum,19,10,17,12,0,15,23,10
Mycobacterium mantenii,22,32,42,0,0,21,33,0
Mycobacterium dioxanotrophicus,22,0,0,0,0,0,0,0
Mycobacterium kansasii,18,39,21,46,0,0,0,0
Mycobacterium basiliense,12,22,0,14,0,0,0,0
Mycobacteroides abscessus,17,18,0,22,82,51,36,22
Mycolicibacter hiberniae,10,0,0,0,0,0,0,0
Hoyosella subflava,17,0,0,12,0,0,0,0
Rhodococcus sp. PBTS 1,17,0,50,32,137,100,64,58
Rhodococcus sp. WAY2,31,102,0,51,0,0,0,0
Rhodococcus sp. WMMA185,11,0,118,0,0,55,103,0
Rhodococcus sp. W8901,13,46,0,0,0,0,0,0
Rhodococcoides fascians,58,0,0,109,0,0,0,0
Rhodococcus opacus,57,0,0,0,0,0,0,0
Rhodococcus coprophilus,16,23,452,33,88,232,475,257
Nocardia sp. CFHS0054,23,24,0,15,24,0,0,0
Nocardia sp. WCH-YHL-001,18,0,0,0,42,20,28,17
Nocardia sp. CS682,12,0,0,0,0,0,0,0
Nocardia cyriacigeorgica,43,31,0,16,0,0,0,0
Nocardia brasiliensis,36,22,31,32,56,0,0,0
Nocardia terpenica,30,16,24,36,57,34,57,58
Nocardia mangyaensis,24,40,38,45,0,0,0,0
Nocardia otitidiscaviarum,16,22,30,22,32,39,37,28
Nocardia farcinica,18,0,0,0,0,0,0,0
Nocardia seriolae,15,0,44,0,0,21,41,0
Tomitella sp. HY188,16,0,0,0,0,0,0,0
Lawsonella clevelandensis,17,22,28,26,83,59,46,77
Dietzia timorensis,48,0,0,0,0,0,0,0
Tsukamurella tyrosinosolvens,14,0,0,0,0,0,0,0
Tsukamurella paurometabola,11,15,0,0,0,0,0,0
Segniliparus rotundus,12,0,0,0,0,0,0,0
Microbacterium sp. PM5,21,30,0,0,0,0,0,0
Microbacterium sp. PAMC 28756,58,0,0,0,0,0,0,0
Microbacterium sp. LKL04,13,0,0,0,0,0,0,0
