TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
435590,Phocaeicola vulgatus,69517.6570048309,0.0845581916743268,69503.6039855073,0.0845410951302354,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,49,Phocaeicola vulgatus,40,5,0.92,1,0.52,0.08,TRUE
537011,Segatella copri,49231.9444444444,0.0598835515204986,49237.3,0.0598900428449667,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,48,Segatella copri,50,2,1,1,0.34,0.14,TRUE
411479,Bacteroides uniformis,40825.7410675074,0.0496586189346518,43009.7609989648,0.0523151400128907,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides,49,Bacteroides uniformis,48,4,0.98,1,0.9,0.04,TRUE
449673,Bacteroides stercoris,33628,0.0409036062510947,29525,0.035912949508028,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Bacteroides,41,Bacteroides stercoris,27,13,0.86,1,0.6,0.34,TRUE
301302,Roseburia faecis,31825,0.0387105170970944,30938.9,0.0376327003999503,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis,Roseburia,8,Roseburia intestinalis,6,12,0,0.6875,1,0.75,FALSE
28116,Bacteroides ovatus,46821.1405710835,0.0569511567190066,47065.6879270186,0.0572485503815672,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides,50,Bacteroides ovatus,47,2,1,1,0.74,0.04,TRUE
1150298,Fusicatenibacter saccharivorans,29724,0.0361549539731039,29999.7,0.0364903089918592,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Blautia,4,Blautia obeum,2,12,0,0,1,1,FALSE
300267,Shigella dysenteriae,27954,0.0340020045540354,27649.6,0.033631712145172,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,Escherichia,47,Escherichia coli,47,2,0,0.42,1,1,FALSE
40520,Blautia obeum,25523.4545454545,0.031045596969638,24758.7363636364,0.0301154044380051,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Blautia,41,Blautia obeum,23,30,0.64,0.92,0.72,0.48,TRUE
226186,Bacteroides thetaiotaomicron,26292.9250345066,0.0319815467111041,27031.4289078675,0.0328798303450229,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides,50,Bacteroides thetaiotaomicron,48,5,1,1,0.22,0.02,TRUE
