"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
1458465,"Megasphaera elsdenii",2,2.5060426954494e-06,1.7,2.07665536859864e-06,"0","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii","0",0,"0",0,0,0,0,0,0
698758,"Amphibacillus xylanus",2,2.5060426954494e-06,2.7,3.39459370510218e-06,"0","Bacillota","Bacilli","Bacillales","Bacillaceae","Amphibacillus","Amphibacillus xylanus","0",0,"0",0,0,0,0,0,0
679190,"Hoylesella buccalis",2,2.5060426954494e-06,1.9,2.42097177151258e-06,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella buccalis","0",0,"0",0,0,0,0,0,0
0,"unknown genome; accession ID isNZ_KB822482.1",2,2.5060426954494e-06,1,1.28786183022845e-06,"0","0","0","0","0","0","0","0",0,"0",0,0,0,0,0,0
1123311,"Streptococcus orisratti",2,2.5060426954494e-06,2,2.54622205861605e-06,"0","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus orisratti","0",0,"0",0,0,0,0,0,0
547042,"Phocaeicola coprophilus",2,2.5060426954494e-06,2.4,3.00763899415854e-06,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprophilus","0",0,"0",0,0,0,0,0,0
1852362,"Bacteroides ihuae",2,2.5060426954494e-06,2,2.5078847141058e-06,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ihuae","0",0,"0",0,0,0,0,0,0
1122985,"Hoylesella loescheii",1,1.2530213477247e-06,0.8,9.45683865137707e-07,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella loescheii","0",0,"0",0,0,0,0,0,0
518635,"Bifidobacterium angulatum",1,1.2530213477247e-06,1,1.25219801768322e-06,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum","0",0,"0",0,0,0,0,0,0
411460,"[Ruminococcus] torques",1,1.2530213477247e-06,1,1.25355386843068e-06,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques","0",0,"0",0,0,0,0,0,0
0,"unknown genome; accession ID isNZ_KB907519.1",1,1.2530213477247e-06,1,1.25584825088291e-06,"0","0","0","0","0","0","0","0",0,"0",0,0,0,0,0,0
0,"unknown genome; accession ID isNZ_KB907524.1",1,1.2530213477247e-06,1.4,1.79272858701672e-06,"0","0","0","0","0","0","0","0",0,"0",0,0,0,0,0,0
478749,"Marvinbryantia formatexigens",1,1.2530213477247e-06,1,1.28657357301746e-06,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Marvinbryantia formatexigens","0",0,"0",0,0,0,0,0,0
445972,"Anaerotruncus colihominis",1,1.2530213477247e-06,1.1,1.39337353304246e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis","0",0,"0",0,0,0,0,0,0
663278,"Ethanoligenens harbinense",1,1.2530213477247e-06,0.9,1.15738216067802e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ethanoligenens","Ethanoligenens harbinense","0",0,"0",0,0,0,0,0,0
290052,"Acetivibrio ethanolgignens",1,1.2530213477247e-06,1.1,1.32382083333424e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","0",0,"0",0,0,0,0,0,0
1203606,"Butyricicoccus pullicaecorum",1,1.2530213477247e-06,1.1,1.39992299547413e-06,"0","Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Butyricicoccus","Butyricicoccus pullicaecorum","0",0,"0",0,0,0,0,0,0
1033732,"Alistipes senegalensis",1,1.2530213477247e-06,1.2,1.54349329257952e-06,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes senegalensis","0",0,"0",0,0,0,0,0,0
796943,"Oribacterium parvum",1,1.2530213477247e-06,1.1,1.36234206114536e-06,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","Oribacterium parvum","0",0,"0",0,0,0,0,0,0
1720200,"Anaerotruncus rubiinfantis",1,1.2530213477247e-06,1.4,1.71423269447108e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus rubiinfantis","0",0,"0",0,0,0,0,0,0
1720204,"Collinsella ihumii",1,1.2530213477247e-06,1,1.30608802718164e-06,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella ihumii","0",0,"0",0,0,0,0,0,0
1776382,"Neglectibacter timonensis",1,1.2530213477247e-06,1,1.26023239800391e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglectibacter","Neglectibacter timonensis","0",0,"0",0,0,0,0,0,0
1841868,"Provencibacterium massiliense",1,1.2530213477247e-06,1.4,1.77741419977439e-06,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Provencibacterium","Provencibacterium massiliense","0",0,"0",0,0,0,0,0,0
1871035,"Negativibacillus massiliensis",1,1.2530213477247e-06,1,1.25877418298549e-06,"0","Bacillota","0","0","0","Negativibacillus","Negativibacillus massiliensis","0",0,"0",0,0,0,0,0,0
