TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
301302,Roseburia faecis,57,7.13434599325116e-05,72.8,9.11163393186162e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis,Faecalibacterium,41,uncultured human fecal virus,32,26,0,0.3,1,1,FALSE
796942,Stomatobaculum longum,54,6.75885409886952e-05,54.4,6.81093787104291e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum,Faecalibacterium,38,Faecalibacterium prausnitzii,28,27,0,0,1,1,FALSE
3158780,Ruminococcus sp. YE282,51,6.38336220448788e-05,50.7,6.34382531909558e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. YE282,0,0,0,0,0,0,0,0,0,FALSE
28116,Bacteroides ovatus,40,5.0065585917552e-05,40.1,5.01793690712179e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Phocaeicola,40,Phocaeicola dorei,40,1,0.375,0.375,1,1,FALSE
431947,Porphyromonas gingivalis,38,4.75623066216744e-05,26.1,3.2686617524581e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Bacteroides,19,Porphyromonas gingivalis,25,6,0.921052631578947,0.921052631578947,1,1,TRUE
511680,Eshraghiella crossota,44.1666666666667,5.5280751117297e-05,46.55,5.82798690017876e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eshraghiella,Eshraghiella crossota,Eshraghiella,32,Eshraghiella crossota,36,15,1,1,0.315789473684211,0.315789473684211,TRUE
556268,Oxalobacter paraformigenes,34,4.25557480299192e-05,34.5,4.32366373460464e-05,0,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter paraformigenes,Faecalibacterium,16,Faecalibacterium prausnitzii,19,26,0,0,1,1,FALSE
1211819,Holdemania massiliensis,33,4.13041083819804e-05,50.1,6.26616034731813e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania massiliensis,Faecalibacterium,18,Clostridium sp. M62/1,18,12,0,0,1,1,FALSE
1121129,Butyricimonas synergistica,24,3.00393515505312e-05,24,3.00393515509216e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas synergistica,Phocaeicola,24,Phocaeicola dorei,24,1,0,0,1,1,FALSE
997884,Bacteroides nordii,20,2.5032792958776e-05,20.3,2.54261111238591e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,Phocaeicola,20,Phocaeicola dorei,20,1,0,0,1,1,FALSE
717959,Alistipes shahii,19,2.37811533108372e-05,19.3,2.41142076185416e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Bacteroides,10,Phocaeicola dorei,14,8,0.947368421052632,0.947368421052632,1,1,TRUE
1130798,Limosilactobacillus mucosae,16,2.00262343670208e-05,16.5,2.07133925604411e-05,0,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,Lactobacillus,10,Bifidobacterium animalis,8,6,0.0625,0.375,1,1,FALSE
428127,Amedibacillus dolichus,13,1.62713154232044e-05,13.1,1.63364774045266e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus,Faecalibacterium,12,Faecalibacterium prausnitzii,10,3,0,0,1,1,FALSE
0,unknown genome; accession ID isNZ_KB850945.1,12,1.50196757752656e-05,14.9,1.86501473228271e-05,0,0,0,0,0,0,0,Faecalibacterium,12,Faecalibacterium prausnitzii,9,2,0,0,1,0,FALSE
1871021,Lachnoclostridium phocaeense,11,1.37680361273268e-05,11,1.37190372270796e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,Faecalibacterium,10,Faecalibacterium prausnitzii,10,2,1,1,1,1,TRUE
536231,Roseburia intestinalis,17,2.12778740149596e-05,18.7,2.34327447906009e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia,7,Roseburia intestinalis,10,4,1,1,1,1,TRUE
1852362,Bacteroides ihuae,10,1.2516396479388e-05,10,1.25591115759389e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ihuae,Phocaeicola,10,Phocaeicola dorei,10,1,0,0,1,1,FALSE
649756,Anaerostipes hadrus,8.75,1.09518469194645e-05,9.25,1.16253324846755e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Faecalibacterium,8,uncultured human fecal virus,4,4,1,1,1,1,TRUE
698758,Amphibacillus xylanus,7,8.7614775355716e-06,9,1.12938232516116e-05,0,Bacillota,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Amphibacillus xylanus,Heyndrickxia,7,Heyndrickxia coagulans,7,1,0.857142857142857,0.857142857142857,1,1,TRUE
566550,Hungatella hathewayi,7,8.7614775355716e-06,7.2,8.99448833874862e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella,Hungatella hathewayi,Lachnoclostridium,6,[Clostridium] symbiosum,4,6,1,1,1,1,TRUE
