"","TPR","FPR"
"abundance_cols.healthy_stool_10_1_noerr",0.11623246492986,0.00115919629057187
"abundance_cols.healthy_stool_10_10_noerr",0.106212424849699,0.00111095010384968
"abundance_cols.healthy_stool_10_100_noerr",0.0981963927855711,0.0010144437466789
"abundance_cols.healthy_stool_10_50_noerr",0.110220440881764,0.00106269925611052
"abundance_cols.healthy_stool_100_1_noerr",0.226452905811623,0.00399749554495978
"abundance_cols.healthy_stool_100_10_noerr",0.248496993987976,0.00514744792418338
"abundance_cols.healthy_stool_100_100_noerr",0.268537074148297,0.00658115962914925
"abundance_cols.healthy_stool_100_50_noerr",0.248496993987976,0.00562581141510795
