"TaxonomyID","read_count"
537011,49746
435590,6291.27797544921
411479,4042.14478390264
515619,5114.15359477124
411903,1301
28116,1727.37702738438
367928,1222
445970,1192
300267,1014
449673,912.848214285714
226186,1148.39692987311
435591,1219.60319203359
40520,802.707749766573
411462,922.81512605042
349741,701
206672,647
47678,733.052601809955
246787,600.902002107482
649756,577.206349206349
411469,600.929971988796
515620,539.206349206349
411474,496
411460,499.119047619048
411483,560.444444444445
679935,550
536231,478.120448179272
295405,572.103155506862
511680,614.206349206349
709991,315
411461,226.882352941177
0,207
585394,213.437908496732
999419,199
471875,196
626939,168
0,165
1550024,231
702459,152
1384063,178.913165266106
717959,123
868129,108
266264,108
1121101,108.294117647059
1051074,100
518637,98
292800,104.857142857143
1384484,93
762982,86
1304,81
198214,80
762966,76
411463,67
445973,66
0,64
537007,59
518635,53
1069534,51
479437,51
568816,48
592028,46
0,46
657308,44
760570,42
0,42
333849,40
1122981,40
0,40
0,40
679190,38
901,32
1458465,32
1235811,30
479436,30
1660368,21
379893,20
0,20
564886,17
61647,14
334413,13
0,12
518634,10
1124655,10
0,9
1203606,9
1122155,8
1236513,8
97081,8
272563,7
290052,7
997894,6
938289,6
1437610,6
414970,6
1123313,5
476272,5
518636,5
742743,5
1445607,5
1147146,5
99287,4
908937,4
68895,4
0,4
0,4
0,4
585502,4
290054,4
927665,4
1121094,4
880074,4
763034,4
1841857,4
432198,4
0,3
428127,3
36847,3
997353,3
0,3
0,3
0,3
0,3
0,3
1123263,3
445972,3
888832,3
0,3
1236509,3
796942,3
1211819,3
1841865,3
1871035,3
344612,3
1416032,3
214092,2
1076,2
568814,2
1242245,2
435830,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
1158614,2
334735,2
1121333,2
0,2
1122988,2
1236518,2
0,2
0,2
0,2
742817,2
980251,2
1477437,2
1650661,2
1712031,2
1776384,2
563769,2
432200,2
432201,2
1147147,2
1590550,2
1392005,1
556268,1
1410657,1
1150423,1
1447715,1
553175,1
997352,1
1121114,1
1408437,1
3158780,1
1006000,1
765909,1
1224150,1
1158601,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
411490,1
411467,1
299766,1
1121950,1
411471,1
225992,1
1122991,1
261392,1
888743,1
1410674,1
0,1
1427517,1
742733,1
1121099,1
398843,1
441769,1
0,1
1122979,1
0,1
1121129,1
0,1
0,1
0,1
0,1
0,1
1437607,1
1218081,1
1035839,1
2585118,1
1160721,1
1033732,1
1297617,1
701347,1
947969,1
1116472,1
1118060,1
0,1
796943,1
1776381,1
1841868,1
1852370,1
1870997,1
1871030,1
1917878,1
1567486,1
1147153,1
