"TaxonomyID","read_count"
435590,23882.112111293
537011,23680.2
411479,19661.9417348609
515619,4630.42666666667
411903,2700.6
367928,2558.5
411483,1993.88333333333
511680,76.525
292800,114.373571428571
657308,31.7
585394,39.12
301302,38.3
536231,35.4714285714286
435591,33.0461538461538
1121323,24.3
1123313,20.1
NA,22.3
999419,20.1
796942,15.1
537007,19.9
1650663,12.4
246787,13.7
1871018,8.8
411473,18.4
36847,8.9
39482,9.7
1604,7.9
411463,12.8
476272,6.1
411474,6
3158780,5
1650661,6.1
295405,7.8
1384063,4
1123075,3.6
1211819,7.2
556268,2.9
649756,3.8
411469,2.75
155865,2.2
478749,2.4
411471,2.95
290054,2
1236513,2
698758,1
1125702,1
1123263,1.1
411467,1.2
NA,1
290052,0.9
717959,1.6
742733,1.1
547042,1.5
796943,1
1796620,1.2
2897707,1
1841868,0.9
1871021,1.1
