"TaxonomyID","read_count"
435590,30623.3977382277
411479,14027.7046755654
537011,10269.3275862069
515619,10151.3
411903,7049.6
367928,6042.8
411483,1112.71666666667
999419,88.1
445975,36.7
585394,80.4
880074,49.1
NA,31.5
226186,38.9428571428571
435591,34.12
NA,17.6
292800,39.5833333333333
411474,16.4
246787,16
295405,23.2071428571429
39482,9.9
1236513,10
679200,9.2
796942,8
3158780,7
36847,6.1
411467,8.8
1150298,6.1
1650661,6.8
28116,4
1211819,4.3
1650663,4.2
1123313,8.7
1291050,3
411473,6.1
258723,2.6
1121129,3
537007,4.3
290054,2
1122155,2
649756,2.5
556268,2.3
1121296,1.3
709991,1.1
411468,3.6
428127,1.6
1384063,1
411469,1
511680,1.2
449673,1
566550,2.2
NA,1.3
411471,1.2
1410653,1
667015,1
1123075,0.8
762982,1
1349822,1
947969,1
1653435,1.3
1841865,1
2897707,1
