species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Acidaminococcus intestini,0,0,0,0,0,12816,64415,18458
Adlercreutzia equolifaciens,0,0,0,0,9363,24461,81441,35209
Agathobacter rectalis,510244,767221,1013127,475292,230908,226707,113675,370939
Akkermansia muciniphila,0,0,0,0,72083,188243,72195,115472
Alistipes finegoldii,0,0,0,0,34638,90234,78939,56009
Alistipes putredinis,300217,451610,744312,268181,128643,108388,69128,205132
Alistipes shahii,0,0,0,0,17938,46915,118895,62157
Alistipes sp.,0,0,0,0,0,0,16154,0
Allofournierella sp.,1924,2825,1867,3687,0,0,0,0
Anaerostipes sp.,0,0,0,0,64434,167837,72636,103995
Angelakisella sp.,4084,5802,6097,6236,0,0,0,0
Bacteroides fluxus,834,1284,2489,772,0,0,0,0
Bacteroides fragilis,0,0,4716,0,55566,139005,166487,90272
Bacteroides salyersiae,0,0,0,0,0,0,124999,22022
Bacteroides sp.,0,0,0,0,258214,666728,673427,438189
Bacteroides stercoris,0,0,0,0,86158,239820,128255,129357
Bacteroides thetaiotaomicron,4181,6166,8240,4860,94861,238832,286640,170459
Bacteroides uniformis,851768,1280951,1313219,1648481,346847,269422,61260,541465
Barnesiella intestinihominis,0,0,0,0,51352,134077,102839,82736
Bifidobacterium adolescentis,281217,423483,602870,253802,125569,122435,83821,204973
Bifidobacterium angulatum,0,0,0,0,0,15333,61737,21306
Bifidobacterium bifidum,0,0,0,0,16291,42459,60425,26503
Bifidobacterium longum,0,0,0,0,64827,169161,56868,104433
Blautia obeum,0,0,0,0,13674,36233,28690,0
Blautia sp.,992,2172,1932,2760,0,0,0,0
[Clostridium] leptum,343,0,0,691,0,0,0,0
Collinsella aerofaciens,302883,455421,707549,273382,100438,58688,26457,161744
Coprococcus comes,0,0,0,0,33238,102038,69121,54050
Coprococcus eutactus,0,0,0,0,17188,67579,36956,27255
Culturomica sp.,4503,6706,0,4185,0,0,0,0
Dialister invisus,0,0,0,0,0,11944,53611,17194
Dorea formicigenerans,0,0,0,0,10665,28217,55322,17535
Dorea longicatena,0,0,0,0,33176,111403,32359,53414
Eggerthella lenta,0,0,0,0,0,0,83083,18352
Enterococcus faecium,0,0,0,0,0,0,70108,14803
Eshraghiella crossota,0,0,0,0,16096,68048,51809,25750
Faecalibacterium sp.,180219,270267,200961,352405,0,0,0,0
Faecalicatena sp.,1535,2353,1641,3153,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,0,88577,38245
Fusicatenibacter sp.,0,0,0,0,0,73169,0,0
Gemmiger sp.,9130,13540,10058,17215,0,0,29067,0
Gordonibacter pamelaeae,0,0,0,0,0,0,85315,15998
Hoylesella timonensis,0,0,0,0,0,0,26463,0
Intestinibacter bartlettii,0,0,0,0,0,0,61001,0
Lachnospira eligens,0,0,0,0,55983,146841,80199,90079
Leyella stercorea,8442,12693,25666,7633,0,0,0,0
Ligilactobacillus ruminis,0,0,0,0,0,13514,58407,19351
Mediterraneibacter gnavus,0,0,0,0,0,0,42660,0
Megasphaera elsdenii,0,0,0,0,0,0,60656,0
Odoribacter splanchnicus,0,0,0,0,32818,85301,127438,52759
Parabacteroides distasonis,0,0,0,0,71818,187108,108038,115353
Phocaeicola plebeius,0,0,16127,0,55059,159751,88945,88026
Phocaeicola vulgatus,1473593,2213603,2589460,2485255,643429,600560,277258,1037230
Prevotella bivia,0,0,0,0,12507,29818,79156,42881
Roseburia hominis,0,0,0,0,40114,101915,137889,116905
Roseburia intestinalis,0,0,0,0,0,0,8440,0
Roseburia sp.,795,1286,1729,2145,0,86933,0,0
[Ruminococcus] lactaris,0,0,0,0,0,0,9384,0
[Ruminococcus] torques,0,0,0,0,15065,53010,21696,24668
Ruthenibacterium sp.,0,0,0,0,0,0,18950,0
Segatella copri,5023283,2519044,1025918,2364580,4945059,445600,61734,814832
Shigella dysenteriae,0,0,0,0,84290,219214,106857,137863
Streptococcus parasanguinis,0,0,0,0,0,11201,62200,16129
Streptococcus thermophilus,0,0,0,0,0,0,52315,39592
Subdoligranulum variabile,3787,5780,4311,7594,0,0,0,0
Veillonella parvula,0,0,0,0,0,0,60327,11320
