"full_sample_name","pipeline","TP","precision","recall","F1","abundance_threshold"
"healthy_stool_100_100_100k_err","Bracken",51.5923809803691,0.382165785039771,0.515923809803691,0.43908409344995,0
"healthy_stool_100_100_100k_err","Centrifuge",36.5805207294716,0.0174275944399579,0.365805207294715,0.0332701416366272,0
"healthy_stool_100_100_100k_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_100k_err","Kraken2",51.6949054584374,0.0384634713232421,0.516949054584374,0.0715995920476972,0
"healthy_stool_100_100_100k_err","MetaScope",72.6528607876219,0.324343128516169,0.726528607876219,0.448474449306308,0
"healthy_stool_100_100_100k_err","MetaScope Blast",57.5088227713012,0.250038359875222,0.575088227713012,0.348538319826068,0
"healthy_stool_100_100_100k_err","MetaScope Priors",72.6634065029497,0.289495643438046,0.726634065029497,0.414036504290311,0
"healthy_stool_100_100_100k_err","PathoScope2",48.5751829933032,0.883185145332786,0.485751829933032,0.6267765547523,0
"healthy_stool_100_100_100k_err","mOTUs",56.7683967436603,0.76714049653595,0.567683967436603,0.652510307398395,0
"healthy_stool_100_100_100k_noerr","Bracken",51.596133614298,0.373885026190565,0.51596133614298,0.433580954742,0
"healthy_stool_100_100_100k_noerr","Centrifuge",36.5907152729786,0.0178057008627633,0.365907152729786,0.033958900485363,0
"healthy_stool_100_100_100k_noerr","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_100k_noerr","Kraken2",51.7188100444914,0.0322637617245735,0.517188100444914,0.0607384733346933,0
"healthy_stool_100_100_100k_noerr","MetaScope",72.6640885904493,0.311863041160727,0.726640885904493,0.436420952495191,0
"healthy_stool_100_100_100k_noerr","MetaScope Blast",60.5445302587718,0.239306443710561,0.605445302587718,0.343028500049699,0
"healthy_stool_100_100_100k_noerr","MetaScope Priors",72.6650323501016,0.268136650738382,0.726650323501016,0.391725241779523,0
"healthy_stool_100_100_100k_noerr","PathoScope2",46.6022229718334,0.847313144942425,0.466022229718334,0.601319006088173,0
"healthy_stool_100_100_100k_noerr","mOTUs",56.7756318440528,0.767238268162876,0.567756318440528,0.652593469471871,0
"healthy_stool_100_100_10mil_err","Bracken",51.6109475041866,0.0146455583156035,0.516109475041866,0.0284828628610302,0
"healthy_stool_100_100_10mil_err","Centrifuge",36.5791344312063,0.00883981015737222,0.365791344312063,0.0172624513597009,0
"healthy_stool_100_100_10mil_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_10mil_err","Kraken2",51.7481222876183,0.00853647678779583,0.517481222876183,0.0167958851955918,0
"healthy_stool_100_100_10mil_err","MetaScope",71.657390785174,0.132945066391789,0.71657390785174,0.224279783365177,0
"healthy_stool_100_100_10mil_err","MetaScope Blast",60.5360705605613,0.103480462496686,0.605360705605613,0.176747651271712,0
"healthy_stool_100_100_10mil_err","MetaScope Priors",72.6650546945049,0.120306381944544,0.726650546945049,0.206434814473025,0
"healthy_stool_100_100_10mil_err","PathoScope2",49.5779070274136,0.869787842586203,0.495779070274136,0.631565694616733,0
"healthy_stool_100_100_10mil_err","mOTUs",74.7460386722,0.770577718270103,0.747460386722,0.758843032205076,0
"healthy_stool_100_100_10mil_noerr","Bracken",51.6193427766232,0.0120128793987952,0.516193427766232,0.0234793462709225,0
"healthy_stool_100_100_10mil_noerr","Centrifuge",36.5877232665867,0.00907883952024483,0.365877232665867,0.0177180257949572,0
"healthy_stool_100_100_10mil_noerr","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_10mil_noerr","Kraken2",51.7755013285685,0.00819751445987468,0.517755013285685,0.0161394954266111,0
"healthy_stool_100_100_10mil_noerr","MetaScope",72.661761969139,0.141917503845975,0.726617619691389,0.237456738461238,0
"healthy_stool_100_100_10mil_noerr","MetaScope Blast",60.5430402523614,0.108694865803162,0.605430402523614,0.184301492396838,0
"healthy_stool_100_100_10mil_noerr","MetaScope Priors",72.6646341060334,0.126373276706145,0.726646341060334,0.215302619573432,0
"healthy_stool_100_100_10mil_noerr","PathoScope2",46.5995611858859,0.862954836775664,0.465995611858859,0.605189106310206,0
"healthy_stool_100_100_10mil_noerr","mOTUs",75.9094742754,0.79072369036875,0.759094742754,0.774586472197959,0
"healthy_stool_100_100_1mil_err","Bracken",51.603209359428,0.109328833388619,0.51603209359428,0.180430801956042,0
"healthy_stool_100_100_1mil_err","Centrifuge",36.5792597261004,0.0127143759909977,0.365792597261004,0.0245745782506553,0
"healthy_stool_100_100_1mil_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_1mil_err","Kraken2",51.6959613838635,0.0127644349095959,0.516959613838635,0.0249137163295728,0
"healthy_stool_100_100_1mil_err","MetaScope",72.6539053705425,0.194782588124779,0.726539053705425,0.307204673871216,0
"healthy_stool_100_100_1mil_err","MetaScope Blast",60.5428905106169,0.149858639877765,0.605428905106169,0.240249565518321,0
"healthy_stool_100_100_1mil_err","MetaScope Priors",72.663702777629,0.171781803256806,0.72663702777629,0.277872668365694,0
"healthy_stool_100_100_1mil_err","PathoScope2",49.5805658865762,0.869834489238179,0.495805658865762,0.631599565434092,0
"healthy_stool_100_100_1mil_err","mOTUs",75.7207254028002,0.757207254028002,0.757207254028002,0.757207254028002,0
"healthy_stool_100_100_1mil_noerr","Bracken",51.608637736444,0.0918303162570178,0.51608637736444,0.15591733455119,0
"healthy_stool_100_100_1mil_noerr","Centrifuge",36.5889579596597,0.0126125329057772,0.365889579596597,0.0243845104696166,0
"healthy_stool_100_100_1mil_noerr","Ground Truth",100,1,1,1,0
"healthy_stool_100_100_1mil_noerr","Kraken2",51.7199549244578,0.011103468210489,0.517199549244578,0.0217402080388642,0
"healthy_stool_100_100_1mil_noerr","MetaScope",72.6620937519349,0.186792014786465,0.726620937519349,0.297186477513026,0
"healthy_stool_100_100_1mil_noerr","MetaScope Blast",61.5559898770645,0.146213752677113,0.615559898770645,0.236299385324624,0
"healthy_stool_100_100_1mil_noerr","MetaScope Priors",72.668222980709,0.16553125963715,0.72668222980709,0.269640901598178,0
"healthy_stool_100_100_1mil_noerr","PathoScope2",46.5930974343304,0.862835137672786,0.465930974343304,0.605105161484811,0
"healthy_stool_100_100_1mil_noerr","mOTUs",75.8244116027104,0.758244116027104,0.758244116027104,0.758244116027104,0
"healthy_stool_100_10_100k_err","Bracken",51.6073873504013,0.393949521758788,0.516073873504013,0.446817206496981,0
"healthy_stool_100_10_100k_err","Centrifuge",36.5701130408509,0.017979406608088,0.365701130408509,0.0342737704225407,0
"healthy_stool_100_10_100k_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_10_100k_err","Kraken2",51.7125679818959,0.0416700789539854,0.517125679818959,0.0771253810319103,0
"healthy_stool_100_10_100k_err","MetaScope",72.7086879112407,0.370962693424697,0.727086879112407,0.491274918319194,0
"healthy_stool_100_10_100k_err","MetaScope Blast",60.6422823810563,0.280751307319705,0.606422823810563,0.383811913804154,0
"healthy_stool_100_10_100k_err","MetaScope Priors",72.7165486668839,0.31075448148241,0.727165486668839,0.435428435131041,0
"healthy_stool_100_10_100k_err","PathoScope2",38.609625576322,0.877491490370954,0.38609625576322,0.536244799671138,0
"healthy_stool_100_10_100k_err","mOTUs",43.6688627233467,0.793979322242667,0.436688627233467,0.56346919643028,0
"healthy_stool_100_10_100k_noerr","Bracken",51.6034948636946,0.400027091966625,0.516034948636947,0.450685544661089,0
"healthy_stool_100_10_100k_noerr","Centrifuge",36.5871487389163,0.0183855018788524,0.365871487389163,0.0350116255874797,0
"healthy_stool_100_10_100k_noerr","Ground Truth",100,1,1,1,0
"healthy_stool_100_10_100k_noerr","Kraken2",51.7315168963854,0.0348595127334134,0.517315168963854,0.0653175718388705,0
"healthy_stool_100_10_100k_noerr","MetaScope",72.7123453065468,0.344608271595008,0.727123453065468,0.467603506794513,0
"healthy_stool_100_10_100k_noerr","MetaScope Blast",60.6205660158285,0.287301260738524,0.606205660158285,0.389842868268994,0
"healthy_stool_100_10_100k_noerr","MetaScope Priors",72.7082718355468,0.314754423530506,0.727082718355468,0.439324905350736,0
"healthy_stool_100_10_100k_noerr","PathoScope2",34.6575216372602,0.845305405786833,0.346575216372602,0.491596051592343,0
"healthy_stool_100_10_100k_noerr","mOTUs",42.6832252000735,0.790430096297657,0.426832252000735,0.554327600000954,0
"healthy_stool_100_10_10mil_err","Bracken",51.6249930590106,0.0164830756893393,0.516249930590106,0.0319461590711699,0
"healthy_stool_100_10_10mil_err","Centrifuge",36.5706079859592,0.00899645952914127,0.365706079859592,0.0175609161997403,0
"healthy_stool_100_10_10mil_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_10_10mil_err","Kraken2",51.7121771467659,0.00887457991192139,0.517121771467659,0.0174496970294469,0
"healthy_stool_100_10_10mil_err","MetaScope",71.7087286714121,0.151925272608924,0.717087286714121,0.250729820529413,0
"healthy_stool_100_10_10mil_err","MetaScope Blast",58.5922523248775,0.111817275429155,0.585922523248775,0.187795680528453,0
"healthy_stool_100_10_10mil_err","MetaScope Priors",72.7129437069385,0.133418245333832,0.727129437069385,0.225466492114538,0
"healthy_stool_100_10_10mil_err","PathoScope2",36.6275990270233,0.872085691119602,0.366275990270233,0.515881676436947,0
"healthy_stool_100_10_10mil_err","mOTUs",74.7422015151708,0.778564599116363,0.747422015151708,0.762675525665008,0
