Total Number of Aligned Reads:	78681	Total Number of Mapped Genomes:	8236
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|28116|org|Bacteroides_ovatus|accession|NZ_CP012938.1	0.03707061580292743	0.0398698542214766	3137.0	0.039857144672792666	1.2709548683926234e-05	0.03643640083187464	0.03915854633215011	3081.0335839599024	0.039018314459653536	0.0006227678855123854
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482|accession|NC_004663.1	0.03607561782620698	0.03610782781103443	2841.0	0.035256288049211375	0.0008515397618230577	0.03432383737466802	0.033715591325768166	2652.776441102765	0.03341340349004207	0.0019445609486407139
ti|435590|org|Bacteroides_vulgatus_ATCC_8482|accession|NC_009614.1	0.030363342640031297	0.035472350376838116	2791.0	0.03543422173078634	3.81286460517787e-05	0.02884506960087811	0.03408213757662809	2681.616666666675	0.033896366340031264	0.0011565689302372873
ti|709991|org|Odoribacter_splanchnicus_DSM_20712|accession|NC_015160.1	0.023171564988286562	0.01610299818253454	1267.0	0.01610299818253454	0.0	0.023079942809965618	0.01609234637030419	1266.161904761904	0.01592506450095957	0.0007752824697195002
ti|585394|org|Roseburia_hominis_A2-183|accession|NC_015977.1	0.02250424676226438	0.016496994191736253	1298.0	0.0164715750943684	2.5419097367852467e-05	0.018491432821624205	0.012963384264595213	1019.972037322616	0.012239295382620963	0.0021479137275835333
ti|717959|org|Alistipes_shahii_WAL_8301|accession|NC_021030.1	0.020568052550271606	0.014971848349665104	1178.0	0.014959138800981178	1.2709548683926234e-05	0.018307068366893525	0.013265459480330394	1043.7396173718757	0.013167092436547578	0.0017539177183818202
ti|515619|org|[Eubacterium]_rectale_ATCC_33656|accession|NC_012781.1	0.01948191254876387	0.013853408065479595	1090.0	0.013751731676008185	0.00010167638947140987	0.017964066574299928	0.012602619518679307	991.5867063492066	0.012544324551035192	0.0004448342039374182
ti|295405|org|Bacteroides_fragilis_YCH46|accession|NC_006347.1	0.017982735683959958	0.0211232699126854	1662.0	0.020894498036374727	0.0002287718763106722	0.014317380264797334	0.017134903037262915	1348.1913058748835	0.016687637421995145	0.004295827455167067
ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1	0.016164679611461178	0.0301343399295891	2371.0	0.0301343399295891	0.0	0.015711567183242195	0.02992546353181694	2354.565396146889	0.02966408662828383	0.0019699800460085664
ti|47678|org|Bacteroides_caccae|accession|NZ_CP022412.2	0.015337920280186929	0.0156962926246489	1235.0	0.01568358307596497	1.2709548683926234e-05	0.015474537408809315	0.015985861694181546	1257.7835839598984	0.015937774049643496	0.00031773871709815584
